Date	Visitor	Score	Home	Leading scorer	Attendance	Record
2 December 2007	Heat	89–115	Nuggets	Carmelo Anthony (30)	16,386	11–7
5 December 2007	Lakers	111–107	Nuggets	Allen Iverson (51)	19,155	11–8
6 December 2007	Nuggets	122–109	Mavericks	Allen Iverson (35)	20,155	12–8
8 December 2007	Kings	97–101	Nuggets	Allen Iverson (23)	15,493	13–8
12 December 2007	Hornets	99–105	Nuggets	Carmelo Anthony (32)	13,337	14–8
15 December 2007	Nuggets	91–102	Spurs	Allen Iverson (30)	18,797	14–9
16 December 2007	Trail Blazers	116–105	Nuggets	Allen Iverson (38)	13,678	14–10
20 December 2007	Rockets	111–112	Nuggets	Carmelo Anthony (37)	16,157	15–10
21 December 2007	Nuggets	96–99	Trail Blazers	Two-way tie (34)	20,644	15–11
23 December 2007	Nuggets	106–105	Kings	Carmelo Anthony (30)	15,055	16–11
26 December 2007	Bucks	105–125	Nuggets	Carmelo Anthony (29)	18,701	17–11
28 December 2007	Nuggets	124–120	Warriors	Allen Iverson (39)	20,001	18–11
30 December 2007	Warriors	105–95	Nuggets	Carmelo Anthony (26)	19,362	18–12
