Township	County	Pop. (2010)	Land ( sqmi )	Water (sqmi)	Latitude	Longitude	GEO ID	ANSI code
Saddle Butte	Golden Valley	25	35.278	0.178	47.021142	-103.976050	3803369580	1037074
Saline	McHenry	24	36.152	0.113	48.422249	-100.874792	3804970340	1759513
Sand Creek	Slope	34	70.850	0.142	46.494140	-103.427739	3808770420	1037174
Sandoun	Ransom	66	36.046	0.000	46.413051	-97.343555	3807370460	1036865
Saratoga	LaMoure	52	36.146	0.042	46.594666	-98.462855	3804570660	1036913
Sargent	Sargent	32	35.883	0.000	46.066125	-97.820711	3808170740	1036796
Sarnia	Nelson	39	34.766	1.236	48.150359	-98.100117	3806370820	1036581
Sauk Prairie	Ward	23	35.813	0.061	48.669986	-101.898137	3810170860	1759690
Sauk Valley	Williams	60	35.573	0.179	48.583714	-102.944265	3810570900	1037006
Sauter	Walsh	37	34.835	1.156	48.245457	-98.217289	3809970940	1036523
Sawyer	Ward	183	35.499	0.053	48.068530	-101.088604	3810171020	2397870
Scandia	Bottineau	46	43.860	0.000	48.946531	-100.774709	3800971060	1759294
Schiller	McHenry	48	35.433	0.998	47.975087	-100.270874	3804971180	1759514
Schrunk	Burleigh	18	32.710	1.723	47.294280	-100.413430	3801571220	1759345
Scorio	Williams	37	34.956	0.827	48.595028	-103.732864	3810571300	1036920
Scotia	Bottineau	50	40.181	1.138	48.944595	-100.895783	3800971340	1759295
Scott	Adams	106	35.837	0.209	45.984305	-102.560385	3800171380	1037219
Scoville	Ransom	35	18.054	0.000	46.391559	-97.469165	3807371460	1036867
Scranton	Bowman	67	34.917	0.088	46.169722	-103.178994	3801171540	2397871
Sealy	Logan	23	36.361	0.161	46.595398	-99.863326	3804771580	1037062
Seivert	Cavalier	15	28.060	1.871	48.578664	-98.901129	3801971620	1759379
Sentinel	Golden Valley	50	143.351	0.288	46.886314	-103.718768	3803371740	1037078
Sergius	Bottineau	51	47.757	0.996	48.842975	-101.005336	3800971820	1759296
Severn	Stutsman	51	35.980	0.182	46.689172	-98.765753	3809371860	1036444
Sharlow	Stutsman	55	36.210	0.042	46.676205	-98.906166	3809371900	1036446
Sharon	Steele	48	33.806	0.035	47.644998	-97.919876	3809171980	1036676
Shealy	Ward	28	35.150	0.821	48.146370	-101.846768	3810172075	1759691
Sheets	Slope	20	35.828	0.110	46.326282	-103.359687	3808772100	1759644
Sheldon	Eddy	22	35.748	0.335	47.708983	-98.964920	3802772140	1759413
Shell	Mountrail	30	35.958	0.012	48.065750	-102.108459	3806172220	1037019
Shell Valley	Rolette	449	35.579	0.536	48.768271	-99.840463	3807972260	1759627
Shenford	Ransom	118	53.662	0.072	46.479115	-97.479102	3807372300	1036868
Shepherd	Walsh	37	34.629	1.511	48.332398	-98.222450	3809972380	1036532
Sherbrooke	Steele	49	35.978	0.000	47.455477	-97.665384	3809172420	1036666
Sheridan	LaMoure	28	34.903	0.122	46.580037	-98.337588	3804572460	1036912
Sherman	Bottineau	68	35.910	0.005	48.842786	-101.289039	3800972500	1759297
Sheyenne	Richland	51	35.645	0.015	46.507680	-97.216016	3807772620	1036852
Short Creek	Burke	37	42.775	0.250	48.943720	-102.734535	3801372740	1759330
Shuman	Sargent	60	34.920	0.732	46.159700	-97.436522	3808172780	1036800
Sibley	Kidder	77	31.643	4.017	46.846047	-99.759078	3804372860	1759477
Sibley Butte	Burleigh	15	35.990	0.011	46.945670	-100.370762	3801572900	1759346
Sibley Trail	Barnes	92	33.955	2.209	47.189377	-98.014591	3800372940	1036437
Sidney	Towner	48	43.977	0.383	48.936230	-99.316611	3809572980	1759663
Sidonia	Mountrail	15	34.636	1.362	48.508408	-102.285181	3806173020	1037119
Sikes	Mountrail	87	35.517	0.465	48.150939	-102.386183	3806173060	1037042
Silver Lake	Wells	21	34.826	1.201	47.401106	-99.836299	3810373140	1037190
Silvesta	Walsh	38	35.154	0.766	48.492537	-98.111696	3809973220	1036550
Sinclair	Stutsman	30	34.196	1.709	46.758025	-99.128339	3809373340	1036461
Sioux	McKenzie	108	64.409	5.729	47.913001	-103.871117	3805373380	1036968
Sioux Trail	Divide	25	35.635	0.207	48.684574	-103.733516	3802373420	1036921
Skandia	Barnes	40	35.170	0.720	46.772308	-98.107668	3800373500	1036412
Smith	Towner	16	43.289	0.675	48.942626	-99.188018	3809573660	1759664
Smoky Butte	Divide	34	35.178	0.767	48.673153	-103.596935	3802373700	1759396
Snow	McLean	80	21.476	13.991	47.626616	-101.250968	3805573780	1759544
Solon	Hettinger	22	35.894	0.073	46.408091	-102.118089	3804173860	1759461
Soo	Burke	24	42.681	0.299	48.943339	-102.472522	3801373900	1759331
Sorenson	Towner	21	35.109	0.657	48.664846	-99.295598	3809573940	1759665
Sorkness	Mountrail	37	35.634	0.499	48.410047	-102.683355	3806173980	1034093
South Cottonwood	Wells	40	35.400	0.496	47.534537	-99.578832	3810374080	1759710
South Dresden	Cavalier	33	35.371	0.542	48.852062	-98.533504	3801974100	1759380
South Fork	Adams	11	36.048	0.000	46.075009	-102.060845	3800174140	1037252
South Meadow	Williams	23	35.713	0.290	48.495364	-103.070698	3810574260	1037036
