City	Country	IATA	ICAO	Airport
Antananarivo	Madagascar	TNR	FMMI	Ivato Airport
Bangkok	Thailand	BKK	VTBS	Suvarnabhumi Airport
Chennai	India	MAA	VOMM	Chennai International Airport
Dzaoudzi	Mayotte	DZA	FMCZ	Dzaoudzi Pamandzi International Airport
Johannesburg	South Africa	JNB	FAOR	OR Tambo Airport
Mahé	Seychelles	SEZ	FSIA	Seychelles International Airport
Moroni	Comoros	HAH	FMCH	Prince Said Ibrahim International Airport
Nosy Be	Madagascar	NOS	FMNN	Fascene Airport
Noumea	New Caledonia	NOU	NWWW	La Tontouta International Airport
Paris	France	CDG	LFPG	Paris-Charles de Gaulle Airport
Port Louis	Mauritius	MRU	FIMP	Sir Seewoosagur Ramgoolam International Airport
Saint Denis	Réunion	RUN	FMEE	Roland Garros Airport
Saint-Pierre	Réunion	ZSE	FMEP	Pierrefonds Airport
Sydney	Australia	SYD	YSSY	Sydney Airport
Toamasina	Madagascar	TMM	FMMT	Toamasina Airport
