State	Literacy Rate (%) - [2013 Estimate]	Literacy Rate (%) - 2001 Census	Literacy Rate (%) - 2011 Census	% Increase
Kerala	95.5	92.19	93.91	3.04%
Mizoram	93.4	88.8	91.6	2.80%
Tripura	91.5	73.19	87.8	14.61%
Goa	90.5	87.4	87.4	0.00%
Himachal Pradesh	86.5	76.48	83.8	7.32%
Nagaland	85.9	76.88	82.9	6.02%
Sikkim	86.2	68.81	82.2	13.39%
Tamil Nadu	83.0	73.45	80.3	6.85%
Maharashtra	83.2	66.59	80.1	13.52%
Punjab	83.1	69.65	79.9	10.25%
Manipur	83.8	63.74	79.8	16.06%
Uttarakhand	82.5	71.62	79.6	7.98%
Gujarat	82.2	69.14	79.3	10.16%
West Bengal	80.2	68.64	77.1	8.46%
Haryana	79.7	67.91	76.6	8.69%
Karnataka	78.6	66.64	75.6	8.96%
Meghalaya	79.5	62.56	75.5	12.94%
India	77.3	64.84	74.04	9.2%
Odisha	76.8	55.08	73.45	10.42%
Assam	76.5	63.25	73.2	9.95%
Chattisgarh	74.5	64.66	71	6.34%
Madhya Pradesh	74.0	60.53	70.6	10.07%
Uttar Pradesh	75.2	56.27	71.7	13.43%
Jammu and Kashmir	72.2	55.52	68.7	13.18%
Andhra Pradesh	71.2	60.47	67.7	7.23%
Jharkhand	70.6	53.56	67.6	14.04%
Rajasthan	70.1	60.41	67.1	6.69%
Arunachal Pradesh	71.4	54.34	67	12.66%
Bihar	67.8	47	63.8	16.8%
