Date	Tournament	Winning score	Margin of victory	Runner(s)-up
Nov 10, 1963	Frank Sinatra Open Invitational	–6 (68-72-69-69=278)	1 stroke	Jerry Steelsmith
Apr 25, 1965	Texas Open Invitational	–10 (70-67-65-68=270)	3 strokes	Gardner Dickinson
May 16, 1966	Greater New Orleans Open Invitational	–12 (68-71-70-67=276)	2 strokes	Gardner Dickinson
Apr 16, 1967	Tournament of Champions	–6 (65-68-74-71=278)	1 stroke	Arnold Palmer
May 7, 1967	Houston Champions International	–10 (67-70-70-67=274)	1 stroke	Arnold Palmer
Jul 9, 1967	500 Festival Open Invitation	–9 (70-71-69-69=279)	3 strokes	Rod Funseth , Rives McBee
Jul 13, 1969	Minnesota Golf Classic	–15 (69-67-67-66=269)	7 strokes	Tommy Aaron , Hugh Inggs
Aug 3, 1969	Westchester Classic	–13 (69-72-67-67=275)	1 stroke	Bert Greene
Apr 26, 1970	Tournament of Champions	–15 (70-64-68-71=273)	7 strokes	Billy Casper , Tony Jacklin , Gary Player
Aug 9, 1970	American Golf Classic	–4 (73-65-67-71=276)	2 strokes	Tommy Aaron , Bruce Crampton , Jack Nicklaus
May 2, 1971	Greater New Orleans Open Invitational	–12 (70-71-67-68=276)	1 stroke	Hubert Green
