Place	Player	Country	Score	To par	Money ( $ )
T1	Ernie Els	South Africa	69-71-66-73=279	–5	Playoff
T1	Colin Montgomerie	Scotland	71-65-73-70=279	–5	Playoff
T1	Loren Roberts	United States	76-69-64-70=279	–5	Playoff
4	Curtis Strange	United States	70-70-70-70=280	–4	75,728
5	John Cook	United States	73-65-73-71=282	–2	61,318
T6	Clark Dennis	United States	71-71-70-71=283	–1	49,485
T6	Greg Norman	Australia	71-71-69-72=283	–1	49,485
T6	Tom Watson	United States	68-73-68-74=283	–1	49,485
T9	Jeff Maggert	United States	71-68-75-70=284	E	37,179
T9	Frank Nobilo	New Zealand	69-71-68-76=284	E	37,179
T9	Jeff Sluman	United States	72-69-72-71=284	E	37,179
T9	Duffy Waldorf	United States	74-68-73-69=284	E	37,179
