Tie no	Home team	Score	Away team	Date
1	Chester City	1–1	Rotherham United	15 November 1986
Replay	Rotherham United	1–1	Chester City	18 November 1986
Replay	Chester City	1–0	Rotherham United	24 November 1986
2	Darlington	2–1	Mansfield Town	16 November 1986
3	Dartford	1–1	Enfield	15 November 1986
Replay	Enfield	3–0	Dartford	18 November 1986
4	Bournemouth	7–2	Fareham Town	15 November 1986
5	Bath City	3–2	Aylesbury United	15 November 1986
6	Bristol City	3–1	VS Rugby	15 November 1986
7	Preston North End	5–1	Bury	15 November 1986
8	Walsall	2–0	Chesterfield	15 November 1986
9	Woking	1–1	Chelmsford City	15 November 1986
Replay	Chelmsford City	2–1	Woking	17 November 1986
10	Notts County	1–1	Carlisle United	15 November 1986
Replay	Carlisle United	0–3	Notts County	18 November 1986
11	Middlesbrough	3–0	Blackpool	15 November 1986
12	Swindon Town	4–0	Farnborough Town	15 November 1986
13	Wrexham	2–1	Hartlepool United	15 November 1986
14	Chorley	1–1	Wolverhampton Wanderers	15 November 1986
Replay	Wolverhampton Wanderers	1–1	Chorley	18 November 1986
Replay	Chorley	3–0	Wolverhampton Wanderers	24 November 1986
15	Bristol Rovers	0–0	Brentford	3 December 1986
Replay	Brentford	2–0	Bristol Rovers	6 December 1986
16	Northampton Town	3–0	Peterborough United	16 November 1986
17	Spennymoor United	2–3	Tranmere Rovers	15 November 1986
18	Southend United	4–1	Halesowen Town	15 November 1986
19	Exeter City	1–1	Cambridge United	15 November 1986
Replay	Cambridge United	2–0	Exeter City	19 November 1986
20	Scunthorpe United	2–0	Southport	15 November 1986
21	Ton Pentre	1–4	Cardiff City	15 November 1986
22	Bromsgrove Rovers	0–1	Newport County	15 November 1986
23	Port Vale	1–0	Stafford Rangers	15 November 1986
24	Halifax Town	1–1	Bolton Wanderers	15 November 1986
Replay	Bolton Wanderers	1–1	Halifax Town	18 November 1986
Replay	Halifax Town	1–3	Bolton Wanderers	24 November 1986
25	Wealdstone	1–1	Swansea City	15 November 1986
Replay	Swansea City	4–1	Wealdstone	24 November 1986
26	Runcorn	1–1	Boston United	15 November 1986
Replay	Boston United	1–2	Runcorn	19 November 1986
27	York City	3–1	Crewe Alexandra	15 November 1986
28	Hereford United	3–3	Fulham	15 November 1986
Replay	Fulham	4–0	Hereford United	24 November 1986
29	Bishop's Stortford	1–1	Colchester United	15 November 1986
Replay	Colchester United	2–0	Bishop's Stortford	18 November 1986
30	Kettering Town	0–3	Gillingham	15 November 1986
31	Aldershot	1–0	Torquay United	15 November 1986
32	Wigan Athletic	3–1	Lincoln City	15 November 1986
33	Nuneaton Borough	0–3	Rochdale	15 November 1986
34	Woodford Town	0–1	Orient	15 November 1986
35	Slough Town	1–1	Bognor Regis Town	15 November 1986
Replay	Bognor Regis Town	0–1	Slough Town	18 November 1986
36	Whitby Town	2–2	Doncaster Rovers	15 November 1986
Replay	Doncaster Rovers	3–2	Whitby Town	18 November 1986
37	Telford United	3–0	Burnley	15 November 1986
38	Frickley Athletic	0–0	Altrincham	15 November 1986
Replay	Altrincham	4–0	Frickley Athletic	18 November 1986
39	Welling United	1–1	Maidstone United	15 November 1986
Replay	Maidstone United	4–1	Welling United	24 November 1986
40	Caernarfon Town	1–0	Stockport County	15 November 1986
