Driver	Constructor	Laps	Time/Retired	Grid
Fernando Alonso	McLaren - Mercedes	78	1:40:29.329	1
Lewis Hamilton	McLaren - Mercedes	78	+4.095	2
Felipe Massa	Ferrari	78	+1:09.114	3
Giancarlo Fisichella	Renault	77	+1 Lap	4
Robert Kubica	BMW Sauber	77	+1 Lap	8
Nick Heidfeld	BMW Sauber	77	+1 Lap	7
Alexander Wurz	Williams - Toyota	77	+1 Lap	11
Kimi Räikkönen	Ferrari	77	+1 Lap	16
Scott Speed	Toro Rosso - Ferrari	77	+1 Lap	18
Rubens Barrichello	Honda	77	+1 Lap	9
Jenson Button	Honda	77	+1 Lap	10
Nico Rosberg	Williams - Toyota	77	+1 Lap	5
Heikki Kovalainen	Renault	76	Engine	15
David Coulthard	Red Bull - Renault	76	+2 Laps	13
Jarno Trulli	Toyota	76	+2 Laps	14
Ralf Schumacher	Toyota	76	+2 Laps	20
Takuma Sato	Super Aguri - Honda	76	+2 Laps	21
Anthony Davidson	Super Aguri - Honda	76	+2 Laps	17
Christijan Albers	Spyker - Ferrari	70	Driveshaft	22
Adrian Sutil	Spyker - Ferrari	53	Accident	19
Mark Webber	Red Bull - Renault	17	Gearbox	6
Vitantonio Liuzzi	Toro Rosso - Ferrari	2	Accident	12
