Country	Skip	Third	Second	Lead
Canada	Charley Thomas	Brock Virtue	Matthew Ng	Kyle Reynolds
China	Wang Binjiang	Zang Jialiang	Wang Zi	Yang Tuo
Czech Republic	Jakub Bares	Jiri Candra	Martin Hejhal	Martin Štěpánek
Denmark	Rasmus Stjerne	Mikkel Krause	Oliver Dupont	Troels Harry
Germany	Daniel Neuner	Florian Zahler	Johannes Glaser	Dominik Greindl
Norway	Stein Fredrik Mellemseter	Steffen Mellemseter	Kristian Rolvsfjord	Markus Høiberg
Scotland	Logan Gray	Alasdair Guthrie	Glen Muirhead	Gordon McDougall
Sweden	Niklas Edin	Marcus Hasselborg	Emanuel Allberg	Fredrik Lindberg
Switzerland	Christian von Gunten	Sven Michel	Sandro Trolliet	Michel Gribi
United States	Chris Plys	Aanders Brorson	Matthew Perushek	Joel Cooper
