Country/Territory	Former pageant	Last competed	New pageant	Franchise since
Albania	Miss Albania	2005	Miss Universe Albania	2006
Aruba	Miss Aruba	2011	Miss Universe Aruba	2012
Australia	Miss Australia	2000	Miss Universe Australia	2004
Bahamas	Miss Universe Bahamas	2009	Miss Bahamas	2010
Brazil	Miss Brazil	2011	Miss Universo Brasil	2012
Canada	Miss Canada	2001	Miss Universe Canada	2002
Czech Republic	Miss České Republiky	2004	Česká Miss	2005
Denmark	Frøken Danmark	1996	Miss Universe Denmark	2004
Egypt	Miss Egypt	1955	Miss Egypt Universe	1987
El Salvador	Miss El Salvador	2005	Nuestra Belleza El Salvador	2006
Finland	Suomen Neito	1960	Miss Suomi	1961
Germany	Miss Deutschland	2008	Miss Universe Germany	2009
Guatemala	Miss Universo Guatemala	2009	Miss Guatemala	2010
Hungary	Miss Universe Hungary	2007	A Királynő	2008
India	I Am She	2012	Femina Miss India	2013
Japan	Miss Japan	1997	Miss Universe Japan	1998
Malaysia	Miss Malaysia Universe	2009	Miss Universe Malaysia	2010
Mexico	Señorita México	1993	Nuestra Belleza México	1994
Netherlands	Miss Universe Netherlands	2009	Miss Netherlands	2010
New Zealand	Miss New Zealand	2003	Miss Universe New Zealand	2006
Norway	Frøken Norge	2010	Miss Universe Norway	2012
Panama	Señorita Panamá	2010	Miss Panamá	2011
Philippines	Miss Philippines	1963	Binibining Pilipinas	1964
Puerto Rico	Miss Puerto Rico	1998	Miss Universe Puerto Rico	2009
Romania	Miss Romania	2008	Miss Universe Romania	2009
Spain	Miss España	2011	Miss Universe Spain	2012
Sri Lanka	Miss Sri Lanka	2004	Miss Sri Lanka Universe	2005
Sweden	Fröken Sverige	2004	Miss Universe Sweden	2009
