Season	League	Division	Coach	Result
1995-96	ECHL	South	Doug Shedden	Lost in Round 1
1996-97	ECHL	South	Doug Shedden	Lost in Finals
1997-98	ECHL	Southwest	Doug Shedden	Lost in Round 3
1998-99	ECHL	Southwest	Doug Shedden	Lost in Round 2
1999-00	ECHL	Southwest	Don Murdoch	Lost in Finals
2000-01	ECHL	Southwest	Dave Farrish	Lost in Round 4
2001-02	ECHL	Southwest	Dave Farrish	Lost in Round 2
2002-03	ECHL	Southwest	Dave Farrish	Lost in Round 2
2003-04	ECHL	Central	Dave Farrish	Lost in Round 2
2004-05	ECHL	South	Todd Gordon	Did Not Qualify
