Place	Player	Country	Score	To par	Money ( $ )
T1	Steve Elkington	Australia	68-67-68-64=267	–17	Playoff
T1	Colin Montgomerie	Scotland	68-67-67-65=267	–17	Playoff
T3	Ernie Els	South Africa	66-65-66-72=269	–15	116,000
T3	Jeff Maggert	United States	66-69-65-69=269	–15	116,000
5	Brad Faxon	United States	70-67-71-63=271	–13	80,000
T6	Bob Estes	United States	69-68-68-68=273	–11	68,500
T6	Mark O'Meara	United States	64-67-69-73=273	–11	68,500
T8	Jay Haas	United States	69-71-64-70=274	–10	50,000
T8	Justin Leonard	United States	68-66-70-70=274	–10	50,000
T8	Steve Lowery	United States	69-68-68-69=274	–10	50,000
T8	Jeff Sluman	United States	69-67-68-70=274	–10	50,000
T8	Craig Stadler	United States	71-66-66-71=274	–10	50,000
