Year	Mens Singles	Womens Singles	Men Doubles	Womens Doubles	Mixed Doubles
1987	Christian Reynders	Christine Jacobs	Christian Reynders Peter van der Sijpt	Christine Jacobs Nathalie Volochinoff	S. Pepe Christine Jacobs
1988	Hugues Belsack	Fabienne Rohgoot	Hugues Belsack Laurent Koch	Anne Foblets A. Vandeheede	Jef Buckinckx Heidi Vrancken
1989	Hugues Belsack	Heidi Vrancken	Jef Buckinckx Jan Keymis	Anne Foblets Heidi Vrancken	Hugues Belsack Anne Foblets
1990	Ph. Gennaux	Heidi Vrancken	Stefaan de Rycke Phillippe Gennaux	Heidi Vrancken Van Dyck	Stephaan de Rycke Van Dyck
1991	Stefaan de Rycke	Els Baert	Kurt Nys Tom Raes	Els Baert Peggy Mampaey	Thujen Pham Sylvie Donnay
1992	Luigi Dalli Cardillo	Mirella Antico	Luigi Dalli Cardillo Vandeninden	Els Baert Sylvie Donnay	Luigi Dalli Cardillo Mirella Antico
1993	Sven van Delsen	Sofie Merciny	Roel Bollen Johan Delamper	Els Carrein Caroline Persyn	Jan Daems Els Carrein
1994	Wouter Claes	Caroline Persyn	Roel Boonen Vandewinkel	Caroline Persyn Mallory Gosset	Frederic Mawet Domken
1995	Frederic Mawet	Caroline Persyn	Frederic Mawet Wandewinkel	Caroline Persyn Smids	Frederic Mawet Caroline Persyn
1996	Kristof van Landschoot	Mallory Gosset	Kristof van Landschoot H. Willems	Katrien Claes Ine De Clerck	Chr. Valette Mallory Gosset
1997	Francois Delvaux	Mallory Gosset	Hans Willems van Heuckelom	Mallory Gosset Maryse Deruyver	Gert Thone Joke Thone
1998	Claude Libois	Katrien Claes	Benjamin Driesen Stein Notermans	Katrien Claes Joke Thone	Steven Delsaert Katrien Claes
1999	Benoit Delvaux	Veerle Rakels	Tim Baeke Steven Delsaert	Veerle Rakels Valerie Descamps	Benjamin Driesen Joke Thone
2000	Tim Baeke	Liesbeth Dufraing	Tim Baeke Tim Wouters	Liesbeth Dufraing An Soenens	Tim Baeke An Soenens
2001	Tim Baeke	Liesbeth Dufraing	Toby Baldari Andy Knaepen	Liesbeth Dufraing An Soenens	Tim Baeke An Soenens
2002	Steven Knaepen	Elke Biesbrouck	Jérôme Legrand Lionel Warnotte	Elke Biesbrouck Evy Descamps	Grégory Vanvlaenderen Nathalie Descamps
2003	Lionel Warnotte	Evy Descamps	Steven Knaepen Pieter Mertens	Evy Descamps Annelie Tan	Lionel Warnotte Laurence Charneux
2004	Gilles Laguesse	Sophie Laguesse	Geofrey Lamont Karel Sioncke	Sabine Devooght Maite Lamont	Koen Verleyen Kelly Scoliers
2005	Yuhan Tan	Laurence Charneux	Jente Paesen Yuhan Tan	Steffie Annys Stefanie Bertels	Jonathan Gillis Laurence Charneux
2006	Yuhan Tan	Stefanie Bertels	Jente Paesen Yuhan Tan	Steffie Annys Stefanie Bertels	Jonathan Gillis Laurence Charneux
2007	Damien Maquet	Lianne Tan	Laurent Cuccu Nicolas Cuccu	Jelske Snoeck Janne Elst	Damien Maquet Severine Corvilain
