State/Territory	Asian American Population (2010 Census)	Chinese	Filipino	Indian	Japanese	Korean	Vietnamese	Other Asian
Alabama	67036	11154	8224	14951	4336	10624	8488	9259
Alaska	50402	3726	25424	1911	3926	6542	1446	7427
Arizona	230907	42331	53067	40510	19611	21125	27872	26391
Arkansas	44943	6301	6396	7973	2384	3247	6302	12340
California	5556592	1451537	1474707	590445	428014	505225	647589	459075
Colorado	185589	33344	26242	24135	22714	28177	23933	27044
Connecticut	157088	36483	16402	50806	6203	11760	10804	24630
Delaware	33701	7033	4637	12344	1196	3099	1688	3704
District of Columbia	26857	6583	3670	6417	2010	2990	1856	3331
Florida	573083	94244	122691	151438	25747	35629	65772	77562
Georgia	365497	54298	28528	105444	14247	60836	49264	52880
Hawaii	780968	199751	342095	4737	312292	48699	13266	139872
Idaho	29698	5473	6211	2786	5698	2806	2154	4570
Illinois	668694	119308	139090	203669	28623	70263	29101	78640
Indiana	126750	26038	16988	30947	8437	13685	8175	22480
Iowa	64512	11494	6026	12525	2854	7375	9543	14695
Kansas	83930	13448	9399	15644	4178	7756	16074	17431
Kentucky	62029	10512	8402	14253	6197	7264	5813	9588
Louisiana	84335	11953	10243	13147	3117	4752	30202	10921
Maine	18333	4390	2918	2397	1181	1741	2170	3536
Maryland	370044	79660	56909	88709	12826	55051	26605	50284
Massachusetts	394211	136866	18673	85441	15358	28904	47636	61343
Michigan	289607	51525	32324	84750	17412	30292	19456	53848
Minnesota	247132	30047	15660	38097	7995	20995	27086	107252
Mississippi	32560	5333	5638	6458	807	2301	7721	4302
Missouri	123571	26001	17706	26263	7084	12689	16530	17298
Montana	10482	1919	2829	930	1854	1369	481	1100
Nebraska	40561	5730	4900	6708	3106	3815	8677	7625
Nevada	242916	39448	123891	14290	21364	18518	12366	13039
New Hampshire	34522	7652	3369	9075	1842	3021	2907	6686
New Jersey	795163	149356	126793	311310	19710	100334	23535	64125
New Mexico	40456	7668	8535	5727	4889	3760	5403	4474
New York	1579494	615932	126129	368767	51781	153609	34510	228763
North Carolina	252585	40820	29314	63852	12878	25420	30665	49636
North Dakota	9193	1762	1704	1740	628	933	791	1635
Ohio	238292	50870	27661	71211	16995	21207	15639	34706
Oklahoma	84170	11658	10850	14078	5580	9072	18098	14834
Oregon	186281	41374	29101	20200	24535	20395	29485	21191
Pennsylvania	402587	96606	33021	113389	12699	47429	44605	54838
Rhode Island	36763	8228	4117	5645	1455	2658	1615	13045
South Carolina	75674	11706	15228	17961	4745	7162	7840	11032
South Dakota	10216	1570	1864	1433	696	1179	1002	2472
Tennessee	113398	18313	14409	26619	6955	13245	11351	22506
Texas	1110666	182477	137713	269327	37715	85332	227968	170134
Utah	77748	16358	10657	7598	12782	7888	9338	13127
Vermont	10463	2833	1035	1723	842	1271	1206	1553
Virginia	522199	72585	90493	114471	20138	82006	59984	82522
Washington	604251	120814	137083	68978	67597	80049	75843	53887
West Virginia	16465	3208	3059	3969	1159	1571	1104	2395
Wisconsin	151513	21054	13158	25998	5967	10949	6191	68196
Wyoming	6729	1340	1657	739	982	803	283	925
Puerto Rico	10464	2751	445	5475	313	205	232	1043
