Week	Date	Opponent	Result	Attendance
1	September 8, 2002	at Green Bay Packers	L 37-34	63,127
2	September 15, 2002	Chicago Bears	L 14-13	68,081
3	September 22, 2002	Cincinnati Bengals	W 30-3	68,129
4	Bye	Bye	Bye	Bye
5	October 6, 2002	Tampa Bay Buccaneers	L 20-6	68,936
6	October 13, 2002	at New York Giants	W 17-10	78,728
7	October 20, 2002	Carolina Panthers	W 30-0	68,056
8	October 27, 2002	at New Orleans Saints	W 37-35	67,883
9	November 3, 2002	Baltimore Ravens	W 20-17	68,532
10	November 10, 2002	at Pittsburgh Steelers	T 34-34	62,779
11	November 17, 2002	New Orleans Saints	W 24-17	70,382
12	November 24, 2002	at Carolina Panthers	W 41-0	72,533
13	December 1, 2002	at Minnesota Vikings	W 30-24	63,947
14	December 8, 2002	at Tampa Bay Buccaneers	L 34-10	65,648
15	December 15, 2002	Seattle Seahawks	L 30-24	69,551
16	December 22, 2002	Detroit Lions	W 36-15	69,307
17	December 29, 2002	at Cleveland Browns	L 24-16	73,528
