Week	Date	Opponent	Result	Stadium	Record	Attendance
1	September 14, 1969	at Denver Broncos	L 35-7	Mile High Stadium	0-1	43679
2	September 21, 1969	Kansas City Chiefs	L 31–0	Alumni Stadium	0-2	22002
3	September 28, 1969	Oakland Raiders	L 38–23	Alumni Stadium	0-3	19069
4	October 5, 1969	New York Jets	L 23–14	Alumni Stadium	0-4	25584
5	October 11, 1969	at Buffalo Bills	L 23–16	War Memorial Stadium	0-5	46201
6	October 19, 1969	San Diego Chargers	L 13–10	Alumni Stadium	0-6	18346
7	October 26, 1969	at New York Jets	L 23–17	Shea Stadium	0-7	62298
8	November 2, 1969	Houston Oilers	W 24–0	Alumni Stadium	1-7	19006
9	November 9, 1969	Miami Dolphins	L 17–16	Alumni Stadium	1-8	19821
10	November 16, 1969	at Cincinnati Bengals	W 25–14	Nippert Stadium	2-8	27927
11	November 23, 1969	Buffalo Bills	W 35–21	Alumni Stadium	3-8	25584
12	November 30, 1969	at Miami Dolphins	W 38–23	Miami Orange Bowl	4-8	32121
13	December 7, 1969	at San Diego Chargers	L 28–18	San Diego Stadium	4-9	33146
