Date	Visitor	Score	Home	Leading scorer	Attendance	Record
December 2	Miami	89–115	Denver	Dwyane Wade (13)	16,386	4–12
December 3	Miami	101–110	Utah	Dwyane Wade (26)	19,911	4–13
December 6	Miami	106–112	Portland	Dwyane Wade (21)	19,980	4–14
December 7	Miami	113–120	Golden State	Dwyane Wade (33)	19,596	4–15
December 9	Miami	100–94	L.A. Clippers	Dwyane Wade (33)	16,335	5–15
December 10	Miami	117–113	Phoenix	Dwyane Wade (31)	18,422	6–15
December 13	Washington	104–91	Miami	Chris Quinn (22)	19,600	6–16
December 15	Indiana	106–103	Miami	U. Haslem , D. Wade (24)	19,600	6–17
December 17	Minnesota	87–91	Miami	Dwyane Wade (30)	19,600	7–17
December 19	Miami	111–114	Atlanta	Dwyane Wade (36)	17,069	7–18
December 20	New Jersey	107–103	Miami	Dwyane Wade (41)	19,600	7–19
December 22	Utah	102–104	Miami	Dwyane Wade (20)	19,600	8–19
December 25	Miami	82–96	Cleveland	Dwyane Wade (22)	20,562	8–20
December 26	Miami	85–96	Philadelphia	Dwyane Wade (27)	18,431	8–21
December 28	Orlando	114–121	Miami	Dwyane Wade (48)	19,805	8–22
December 29	Miami	74–96	Washington	Ricky Davis (22)	20,173	8–23
