Year	Round	Player	Nationality	Position	College/High School/Club
1947	1	Dick Holub	United States	C	Long Island
1948	1	Dolph Schayes ^	United States	C	NYU
1949	1	Dick McGuire ^ (15)	United States	G	St. John's
1950	1	Irwin Dambrot #	United States	F	CCNY
1950	2	Herb Scherer	United States	C	Long Island
1951	1	Ed Smith	United States	F	Harvard
1951	2	Roland Minson #	United States	G	Brigham Young
1952	1	Ralph Polson	United States	F/C	Whitworth
1953	T	Walter Dukes +	United States	C	Seton Hall
1953	2	Don Ackerman	United States	PG	Long Island
1953	2	Neil Gordon #	United States	F	Furman
1954	1	Jack Turner Category:Articles with hCards	United States	G/F	Western Kentucky
1954	2	Richie Guerin *	United States	G	Iona
1955	1	Ken Sears +	United States	PF	Santa Clara
1955	2	Jerry Mullen #	United States	F	San Francisco
1956	1	Ronnie Shavlik	United States	F	North Carolina State
1956	2	Gary Bergen	United States	C	Utah
1957	1	Brendan McCann Category:Articles with hCards	United States	G	St. Bonaventure
1957	2	Larry Friend Category:Articles with hCards	United States	G/F	California
1958	1	Mike Farmer	United States	SF	San Francisco
1958	1	Pete Brennan	United States	SF	North Carolina
1958	2	Joe Quigg #	United States	F/C	North Carolina
1959	1	Johnny Green	United States	SF	Michigan State
1960	1	Darrall Imhoff +	United States	C	California
1960	2	Dave Budd	United States	PF	Wake Forest
1960	2	Kelly Coleman #	United States	G	Kentucky Wesleyan
1961	1	Tom Stith	United States	SF	St. Bonaventure
1961	2	Whitey Martin	United States	G	St. Bonaventure
1962	1	Paul Hogue	United States	C	Cincinnati
1962	2	John Rudometkin Category:Articles with hCards	United States	SF	USC
1963	1	Art Heyman Category:Articles with hCards	United States	SF/G	Duke
1963	2	Jerry Harkness Category:Articles with hCards	United States	PG	Loyola (Chicago)
1964	1	Jim Barnes #	United States	C/F	Texas Western
1964	2	Willis Reed ^ (19)	United States	C/F	Grambling State
1964	2	Howard Komives	United States	PG	Bowling Green
1965	T	Bill Bradley ^ (24)	United States	SF/SG	Princeton
1965	1	Dave Stallworth	United States	PF/C	Wichita State
1965	2	Dick Van Arsdale +	United States	G/SF	Indiana
1965	2	Hal Blevins	United States	G	Arkansas AM&N
1966	1	Cazzie Russell +	United States	SF/G	Michigan
1966	2	Henry Akin	United States	PF/C	Morehead State
1967	1	Walt Frazier ^ (10)	United States	PG	Southern Illinois
1967	2	Phil Jackson Category:Articles with hCards	United States	F/C	North Dakota
1968	1	Bill Hosket, Jr.	United States	PF/C	Ohio State
1969	1	John Warren	United States	G/SF	St. John's
1969	2	Bill Bunting #	United States	F/C	North Carolina
1970	1	Mike Price	United States	G	Illinois
1970	2	Howie Wright #	United States	G	Austin Peay
1971	1	Dean Meminger	United States	PG	Marquette
1971	2	Gregg Northington #	United States	C	Alabama State
1972	1	Tom Riker	United States	C/F	South Carolina
1973	1	Mel Davis	United States	SF	St. John's
