Class	Number(s)	Quantity	Year(s) of Manufacture	Type
D I	names	15	1871–1875	B n2t
D II (old)	names	4	1873	B n2t
D II	2400–2472	73	1898–1904	C n2t
D III	names	6	1873	B n2t
D IV	names, 1701–1737	132	1875–1897	B n2t
D V	names	10	1877–1878	C n2t
D IX	names, 1931–1960, 2101–2115	55	1888–1899	1B n2t
D XII	2201–2296	96	1897–1904	1′B2′ n2t
Pt 2/3	6001–6097	97	1909–1916	1B h2t
Pt 2/4 N	6501–6502	2	1909	2′B n2t
Pt 2/4 H	5001–5012	12	1906–1909	1′B1′ h2t
Pt 2/5 N	5202–5210	9	1907	1′B2′ n2t
Pt 2/5 H	5201	1	1906	1′B2′ h2t
Pt 3/6	6101–6110	10	1923	1′C2′ h2t
Gt 2x4/4	5751–5765	15	1913–1914	D′D h4vt
Gt 2x4/4	5766–5775	10	1922–1923	D′D h4vt
R 3/3	2473–2490	18	1906–1913	C n2t
R 3/3	4701–4790	90	1921–1922	C n2t
R 4/4	4151–4183	33	1918–1919	D n2t
R 4/4	4184–4192	9	1924–1925	D n2t
