Name	WSU Year(s)	Position	Team	Pro Year(s)
Gene Wiley	1959-62	C	Los Angeles Lakers	1962-67
Dave Stallworth	1962-65	PF - C	New York Knicks	1965-74
Nate Bowman	1962-65	C	Cincinnati Royals	1966-71
Warren Jabali	1965-68	G - SF	New York Knicks	1968-1974
Bobby Wilson	1972-74	PG	Chicago Bulls	1974-77
Lynbert "Cheese" Johnson	1975-79	PF	Golden State Warriors	1979-1979
Cliff Levingston	1979-82	PF	Detroit Pistons	1982-94
Antoine Carr	1979-83	PF - C	Detroit Pistons	1984-99
Ozell Jones	1979-81	C - PF	San Antonio Spurs	1984-85
Xavier "X-Man" McDaniel	1981-85	SF - PF	Seattle Supersonics	1985-1997
Greg Dreiling	1981-82	C	Indiana Pacers	1986-1996
Maurice Evans	1997-99	SG - SF	Undrafted	2001-10
