Episode	First broadcast	Rufus guest	Marcus guest	Winner
1x01	27 October 2008	Dara Ó Briain	Mark Watson	Blue (3–2)
1x02	3 November 2008	Jimmy Carr	Ed Byrne	Blue (3–2)
1x03	10 November 2008	Johnny Vegas	Robin Ince	Red (3–1)
1x04	17 November 2008	Frankie Boyle	Phill Jupitus	Blue (3–2)
1x05	24 November 2008	Hugh Dennis	Richard Herring	Blue (3–2)
1x06	1 December 2008	Andrew Maxwell	Sue Perkins	Blue (2–2)
1x07	8 December 2008	Charlie Higson	Jimmy Carr	Red (2–2)
1x08	15 December 2008	Andy Parsons	Mark Watson	Red (3–2)
1x09	5 January 2009	Phill Jupitus	Frankie Boyle	Red (3–2)
1x10	12 January 2009	Patrick Kielty	Lucy Porter	Blue (3–1)
1x11	19 January 2009	Sue Perkins	Jason Byrne	Blue (4–1)
1x12	26 January 2009	Lucy Porter	Jarred Christmas	Red (3–2)
