Date	Tournament	Surface	Opponent in the final	Score
13 October 1986	Toulouse , France	Hard (i)	Jan Gunnarsson	4–6, 6–3, 6–2
6 March 1989	Nancy , France	Hard (i)	Michiel Schapers	6–3, 7–6(5)
17 September 1990	Bordeaux , France	Clay	Goran Ivanišević	6–4, 6–3
14 January 1991	Sydney Outdoor , Australia	Hard	Michael Stich	6–3, 6–4
18 February 1991	Brussels , Belgium	Carpet	Andrei Cherkasov	6–3, 7–5, 3–6, 7–6(4)
12 August 1991	Cincinnati , USA	Hard	Pete Sampras	2–6, 7–6(4), 6–4
16 September 1991	Bordeaux , France	Hard	Olivier Delaître	6–1, 6–3
7 October 1991	Toulouse , France	Hard (i)	Amos Mansdorf	6–2, 7–6(4)
4 November 1991	Paris , France	Carpet	Pete Sampras	7–6(9), 4–6, 5–7, 6–4, 6–4
12 October 1992	Toulouse , France	Hard (i)	Petr Korda	6–3, 6–2
19 February 1996	Marseille , France	Hard (i)	Cédric Pioline	7–5, 6–4
