No. in series	No. in season	Title	Directed by	Written by	Original air date
27	1	"Devil"	Peter Tolan	Denis Leary and Peter Tolan	May30,2006
28	2	"Discovery"	Peter Tolan	Peter Tolan and Denis Leary	June6,2006
29	3	"Torture"	Jace Alexander	Evan Reilly	June13,2006
30	4	"Sparks"	Jace Alexander	Denis Leary and Peter Tolan	June20,2006
31	5	"Chlamydia"	John Fortenberry	Evan Reilly	June27,2006
32	6	"Zombies"	John Fortenberry	Peter Tolan and Denis Leary	July11,2006
33	7	"Satisfaction"	Ken Girotti	Denis Leary and Peter Tolan	July18,2006
34	8	"Karate"	Ken Girotti	Evan Reilly	July25,2006
35	9	"Pieces"	Jace Alexander	Peter Tolan and Denis Leary	August1,2006
36	10	"Retards"	Jace Alexander	Evan Reilly	August8,2006
37	11	"Twilight"	John Fortenberry	John Scurti	August15,2006
38	12	"Hell"	Peter Tolan	Denis Leary and Peter Tolan	August22,2006
