Outcome	Date	Surface	Partner	Opponent in the Final	Score
Winner	February 18, 2008	Hard (i)	David Martin	Bob Bryan Mike Bryan	6–3, 3–6, [10–7]
Runner-up	May 4, 2008	Clay	David Martin	Michael Berrer Rainer Schüttler	5–7, 6–3, [8–10]
Runner-up	July 20, 2008	Hard	David Martin	Ashley Fisher Tripp Phillips	6–3, 3–6, [5–10]
Runner-up	September 28, 2008	Hard	David Martin	Lukáš Dlouhý Leander Paes	4–6, 6–7 (4-7)
Winner	May 3, 2009	Clay	Eric Butorac	Martin Damm Robert Lindstedt	6–3, 6–2
Winner	July 19, 2010	Hard	Rajeev Ram	Rohan Bopanna Kristof Vliegen	6–3, 6–7 (4–7) , [12–10]
Runner-up	February 6, 2011	Hard	Rajeev Ram	James Cerretani Adil Shamasdin	3–6, 6–3, [7–10]
Winner	February 13, 2011	Hard (i)	Rajeev Ram	Alejandro Falla Xavier Malisse	6–4, 4–6, [10–8]
Winner	February 27, 2011	Hard	Rajeev Ram	Christopher Kas Alexander Peya	4–6, 6–4, [10–3]
Winner	April 24, 2011	Clay	Santiago González	Bob Bryan Mike Bryan	5–7, 6–2, [12–10]
Runner-up	June 17, 2012	Grass	Treat Conrad Huey	Aisam-ul-Haq Qureshi Jean-Julien Rojer	3–6, 4–6
Winner	July 15, 2012	Grass	Santiago González	Colin Fleming Ross Hutchins	7–6 (7–5) , 6–3
Winner	August 25, 2012	Hard	Santiago González	Pablo Andújar Leonardo Mayer	6–3, 4–6, [10–2]
Winner	May 5, 2013	Clay	Santiago González	Aisam-ul-Haq Qureshi Jean-Julien Rojer	6-3, 4-6, [10-7]
Winner	June 16, 2013	Grass	Santiago González	Daniele Bracciali Jonathan Erlich	6-2, 7-6 (7-3)
