Result	Record	Opponent	Event	Method	Round	Time
Result	Record	Opponent	Event	Method	Round	Time
Win	37-21-3	Tsutomu Takahagi	Big Bang 12	Decision (Unanimous)	3	3:00
Win	36-21-3	Tomohiko Hashimoto	Big Bang 11	KO	1	0:18
Loss	35-21-3	Makoto Uehara	K-1 World Grand Prix 2012 in Tokyo Final 16	Decision (3-0)	3	3:00
Win	35-20-3	Alex Roberts	Big Bang 10	KO	2	1:07
Win	34-20-3	Masayoshi Kakutani	IGF Genome 21	KO	1	2:03
Win	33-20-3	Soichi Nishida	Big Bang 9	KO	1	1:24
Loss	32-20-3	Fabiano Aoki	HEAT 22	KO	2	1:39
Loss	32-19-3	Singh Jaideep	RISE 85 Heavyweight Tournament 2011	TKO	2	2:59
Draw	32-18-3	Alex Roberts	NJKF Titans Neo X	Decision Draw	3	3:00
Win	32-18-2	Tsutomu Takahagi	RISE 80	Decision (2-0)	3	3:00
Win	31-18-2	Tatsufumi Tomihira	Heat 17	Decision (2-0)	3	3:00
Win	30-18-2	Magnum Sakai	MAJKF Break 8	Ext R. Decision (3-0)	4	3:00
Loss	29-18-2	Koichi Watanabe	Fujiwara Festival 2010	Decision (3-0)	3	3:00
Win	29-17-2	Bo Lam Moon	Heat 14	TKO	1	1:43
Win	28-17-2	Toshio Matsumoto	NJKF Titans Neo VII	KO	2	0:24
Win	27-17-2	Makato	Heat 13	TKO	2	2:08
Win	26-17-2	Emeka	Heat 11	Decision (3-0)	3	3:00
Win	25-17-2	Makoto Uehara	Heat 10	Decision (3-0)	3	3:00
Win	24-17-2	Bo Lam Moon	Heat 9	Decision (2-0)	3	3:00
Win	23-17-2	Prince Ali	Heat 8	TKO	3	2:23
Win	22-17-2	Gary Goodridge	Gladiator International Friendship Rally	Decision (3-0)	3	3:00
Loss	21-17-2	Ruslan Karaev	NJKF Magnam 16	KO	3	2:06
Loss	21-16-2	Paul Slowinski	K-1 WGP 2007 in Amsterdam	KO	1	1:50
Win	21-15-2	Will Riva	NJKF Titans Neo I	Decision (3-0)	3	3:00
Loss	20-15-2	Gokhan Saki	K-1 WGP 2007 in Yokohama	TKO	2	3:00
Win	20-14-2	Freddy Kemayo	K-1 WGP 2006 in Sapporo	Decision (2-0)	3	3:00
Draw	19-14-2	Kaoklai Kaennorsing	NJKF Titans 3rd	Decision Draw	3	3:00
Loss	19-14-1	Tatsufumi Tomihira	K-1 WGP 2005 in Hiroshima	Ext R. Decision (2-1)	4	3:00
Loss	19-13-1	Jérôme Le Banner	K-1 WGP 2004 FINAL	KO	2	1:03
Loss	19-12-1	Ray Sefo	K-1 WGP 2004	Decision (3-0)	3	3:00
Win	19-11-1	Nobu Hayashi	K-1 Beast 2004 in Shizukoa	Decision (3-0)	3	3:00
Win	18-11-1	Tatsufumi Tomihira	K-1 Beast 2004 in Shizukoa	KO	3	0:58
Win	17-11-1	Noboru Uchida	K-1 Beast 2004 in Shizukoa	Decision (3-0)	3	3:00
Win	16-11-1	Eric Esch	K-1 Beast 2004	Decision (3-0)	3	3:00
Win	15-11-1	Kimo Leopoldo	K-1 Burning 2004	KO	2	2:00
Loss	14-11-1	Michael McDonald	Inoki Bom-Ba-Ye 2003	KO	2	0:46
Loss	14-10-1	Yusuki Fujimoto	K-1 Survival 2003	Decision (3-0)	4	3:00
Win	14-9-1	Tsuhyoshi Nakasako	K-1 Survival 2003	Decision (3-0)	4	3:00
Win	13-9-1	TSUYOSHI	K-1 Beast II 2003	Decision (2-0)	3	3:00
Win	12-9-1	Tom Erikson	K-1 Beast 2003	KO	1	1:14
Loss	11-9-1	Musashi	K-1 Andy Spirits 2002	Ext R. Decision (2-0)	4	3:00
Loss	11-8-1	Jérôme Le Banner	K-1 WGP in Nagoya	KO	1	1:42
Win	11-7-1	Rene Rooze	K-1 RISING 2002	KO	1	3:00
Loss	10-7-1	Mark Hunt	K-1 WGP 2001 in Melbourne	KO	1	2:52
Loss	10-6-1	Mike Bernardo	K-1 Rising 2001	TKO	4	1:32
Draw	10-5-1	Toru Oishi	K-1 J-MAX	Draw	5	3:00
Loss	10-5	Mirko Filipović	K-1 WGP Fukuoka	Decision (3-0)	3	3:00
Win	10-4	Tomasz Kucharzewski	K-1 WGP Fukuoka	KO	1	1:49
Loss	9-4	Musashi	K-1 Spirits 2000	Decision (3-0)	3	3:00
Win	9-3	Teng Jun	K-1 Spirits 2000	Decision	3	2:17
Win	8-3	Masashi Suzuki	K-1 Spirits 2000	TKO	3	2:17
Win	7-3	Masaaki Miyomoto	K-1 Survival 2000	KO	1	1:51
Loss	6-3	Mirko Filipović	K-1 Burning 2000	KO	4	2:51
Win	6-2	Nobu Hyashi	K-1 Rising 2000	KO	3	0:50
Loss	5-2	Andy Hug	K-1 World Grand Prix '99 Opening Round	TKO	1	1:51
Loss	5-1	Musashi	K-1 Spirits '99	Decision (3-0)	3	3:00
Win	5-0	Teng Jun	K-1 Spirits '99	Decision (2-1)	3	3:00
Win	4-0	Ryo Takigawa	K-1 Spirits '99	KO	1	2:06
Win	3-0	Chris Ballard	King Of The Ring	TKO	1	0:00
Win	2-0	Simon Dore	K-1 Survival '99	TKO	3	1:55
Win	1-0	John Wyatt	K-1 The Challenge '99	Decision (3-0)	5	3:00
