Film	Director(s)	Producer(s)	Recipient	Date	Award
Savage	Hannah Gal	Hannah Judah	Hannah Gal	29/3/06	£4,499
Normal For Norfolk	Gareth Lewis	Adrian Sturges , Damian Lewis	Picture Farm Ltd	15/3/06	£7,750
Dog Flap	Jack Herbert	Wendy Bevan-Mogg	Kubista Ltd	15/3/06	£ 5,800
Exit the Situation	Lilja Ingolfsdottir	Jeremy Campbell	Balfe Campbell Productions Ltd	15/3/06	£7,935
The Sofa	Marcus Shepherd	Teun Hilte , Jonathan Taylor	Clockwork Pictures	15/3/06	£5,380
Dad	Daniel Mulloy	Amber T-Finlayson , Verity Wislocki	Sister Films Ltd	22/3/06	£5,500
The Other Man	Dictynna Hood	Simon Onwurah	Likely Story Ltd	15/3/06	£7,500
Kochana Café	Philip Illic	Elisabeth Charbonneau	Elisabeth Charbonneau	15/3/06	£5,290
100th of a Second	Susan Jacobson	Alex Boden	Pistachio Pictures	15/3/06	£5,930
In the Mood	Hannah Robinson	Jeremy Redhouse , Jonathan Hall	Redhouse Lane / Perfect World	22/3/06	£2,425
