Team	Average	Points	Played	1992-93	1993-94	1994-1995
San Lorenzo	1.272	145	114	45	44	56
River Plate	1.228	140	114	46	45	49
Vélez Sársfield	1.211	138	114	48	38	52
Boca Juniors	1.149	131	114	48	42	41
Independiente	1.106	126	114	41	48	37
Gimnasia de La Plata	1.053	120	114	34	37	49
Lanús	1.026	117	114	37	41	39
Racing Club	1.026	117	114	36	42	39
Rosario Central	1.018	116	114	39	38	39
Huracán	1.009	115	114	43	43	29
Banfield	1.000	76	76	N/A	40	36
Belgrano de Córdoba	0.956	109	114	38	35	36
Deportivo Español	0.956	109	114	41	32	36
Ferro Carril Oeste	0.921	105	114	38	35	32
Argentinos Juniors	0.903	103	114	33	36	34
Platense	0.886	101	114	28	38	35
Newell's Old Boys	0.868	99	114	25	36	38
Gimnasia de Jujuy	0.842	32	38	N/A	N/A	32
Deportivo Mandiyú	0.807	92	114	37	30	25
Talleres de Córdoba	0.632	24	38	N/A	N/A	24
