Television service	Country	Language	Content	HDTV	Package/Option
DeA Kids	Italy	Italian	bambini e ragazzi	no	Sky Famiglia
DeA Kids +1	Italy	Italian	timeshift +1 di DeA Kids	no	Sky Famiglia
Nick Jr.	Italy	Italian	bambini	no	Sky Famiglia
Nick Jr. +1	Italy	Italian	timeshift +1 di Nick Jr.	no	Sky Famiglia
Nickelodeon	Italy	Italian English	cartoni e ragazzi	no	Sky Famiglia
Nickelodeon +1	Italy	Italian English	timeshift +1 di Nickelodeon	no	Sky Famiglia
Cartoon Network	Italy	Italian English	cartoni animati	no	Sky Famiglia
Cartoon Network +1	Italy	Italian English	timeshift +1 di Cartoon Network	no	Sky Famiglia
Boomerang	Italy	Italian English	cartoni animati	no	Sky Famiglia
Boomerang +1	Italy	Italian English	timeshift +1 di Boomerang	no	Sky Famiglia
Disney Junior	Italy	Italian English	bambini	no	Sky Famiglia
Disney Junior +1	Italy	Italian English	timeshift +1 di Disney Junior	no	Sky Famiglia
Disney Channel	Italy	Italian English	ragazzi	no	Sky Famiglia
Disney Channel HD	Italy	Italian English	versione HD di Disney Channel	yes	Sky Famiglia + Sky HD
Disney Channel +1	Italy	Italian English	timeshift +1 di Disney Channel	no	Sky Famiglia
Disney Channel +2	Italy	Italian English	timeshift +2 di Disney Channel	no	Sky Famiglia
Disney XD	Italy	Italian English	cartoni e ragazzi	no	Sky Famiglia
Disney XD HD	Italy	Italian English	versione HD di Disney XD	yes	Sky Famiglia + Sky HD
Disney XD +1	Italy	Italian English	timeshift +1 di Disney XD	no	Sky Famiglia
Disney XD +2	Italy	Italian English	timeshift +2 di Disney XD	no	Sky Famiglia
Disney In English	Italy	English	ragazzi	no	Sky Famiglia
Planet Kids	Italy	Italian	ragazzi	no	Sky Famiglia
JimJam	Italy	Italian English	bambini	no	Sky Famiglia
JimJam +1	Italy	Italian English	timeshift +1 di JimJam	no	Sky Famiglia
DeA Junior	Italy	Italian	bambini	no	Sky Famiglia
BabyTV	Italy	Italian English	under 3	no	Sky Famiglia
Super!	Italy	Italian	cartoni e ragazzi	no	no ( FTV )
K2	Italy	Italian	cartoni animati	no	no ( FTV )
Frisbee	Italy	Italian	cartoni animati e ragazzi	no	no ( FTV )
Cartello promozionale Sky HD	Italy	Italian	promozionale	no	qualsiasi tranne Sky HD
Disney Channel	Italy	Italian English	ragazzi	no	Sky Famiglia
Cartello promozionale Sky HD	Italy	Italian	promozionale	no	qualsiasi tranne Sky HD
Disney XD	Italy	Italian English	cartoni e ragazzi	no	Sky Famiglia
Al Jazeera Childrens Channel	Qatar	arabo	bambini	no	no ( FTA )
Baraem	Qatar	arabo	bambini	no	no ( FTA )
