Squad No.	Name	Position	League Apps	League Goals	FA Cup Apps	FA Cup Goals	League Cup Apps	League Cup Goals	FLT Apps	FLT Goals	Total Apps	Total Goals
2	Andy Holdsworth	DF	43 (1)	3	5	0	0	0	1	0	49 (1)	3
3	Joe Skarz	DF	22 (5)	0	2 (1)	0	1	0	1	0	26 (6)	0
4	Michael Collins	MF	35 (6)	2	3 (2)	1	1	0	1	1	40 (8)	4
5	David Mirfin	DF	23 (6)	1	3 (1)	0	1	0	0	0	27 (7)	1
6	Nathan Clarke	DF	44	2	4	0	1	0	1	0	50	2
7	Chris Brandon	MF	25 (3)	2	2	1	1	0	1	0	29 (3)	3
8	Jon Worthington	MF	19 (6)	0	1	0	1	0	0	0	21 (6)	0
9	Danny Cadamarteri	FW	10 (2)	3	1 (1)	0	0	0	0	0	11 (3)	3
10	Robbie Williams	DF	24 (1)	2	3	0	0	0	0	0	27 (1)	2
11	Danny Schofield	MF	19 (6)	2	4 (1)	0	1	0	1	0	25 (7)	2
12	Tom Clarke	DF	2 (1)	0	0	0	0	0	0 (1)	0	2 (2)	0
13	Frank Sinclair	DF	28 (1)	0	5	0	1	0	0	0	34 (1)	0
14	Phil Jevons	FW	17 (4)	7	3 (1)	2	0	0	0	0	20 (5)	9
14	Richard Keogh	DF	9	1	0	0	0	0	1	0	10	1
15	Malvin Kamara	MF	33 (10)	3	3 (2)	2	1	0	1	0	38 (12)	5
16	Ronnie Wallwork	MF	16	3	2	0	0	0	0	0	18	3
17	Matty Young	MF	4 (4)	0	0	0	0	0	0 (1)	0	4 (5)	0
18	Luke Beckett	FW	25 (11)	8	3 (2)	4	1	0	1	0	30 (13)	12
19	Aaron Hardy	DF	5 (1)	0	0	0	0 (1)	0	1	0	6 (2)	0
20	Danny Racchi	DF	0 (3)	0	0	0	0	0	0	0	0 (3)	0
21	Lucas Akins	FW	0 (3)	0	0	0	0	0	0 (1)	0	0 (4)	0
22	James Berrett	MF	10 (5)	1	2	0	0	0	0	0	12 (5)	1
23	Andy Booth	FW	28 (10)	9	2 (1)	0	0 (1)	0	0	0	30 (12)	9
27	Matt Glennon	GK	45	0	5	0	1	0	1	0	52	0
28	Alex Smithies	GK	1 (1)	0	0	0	0	0	0	0	1 (1)	0
29	Robert Page	DF	18	1	2	0	0	0	0	0	20	1
31	Shane Killock	DF	1	0	0	0	0	0	0	0	1	0
32	Daniel Broadbent	FW	0 (5)	0	0	0	0	0	0	0	0 (5)	0
