Position	Team	Played	Drawn	Lost	Goals For	Goals Against	Goal Difference	Points 1
1	Radcliffe Borough	38	4	1	110	25	+85	70
2	Caernarfon Town	38	7	3	85	28	+57	63
3	Wren Rovers	38	7	8	84	38	+46	53
4	Eastwood Hanley	38	7	8	81	42	+39	53
5	Kirkby Town	38	3	13	80	60	+20	47
6	Irlam Town	38	8	13	79	52	+27	42
7	Chadderton	38	6	14	55	51	+4	42
8	Rossendale United	38	10	13	75	68	+7	40
9	Ford Motors	38	4	16	61	59	+2	40
10	Ellesmere Port & Neston	38	5	16	56	68	−12	39
11	Skelmersdale United	38	11	14	70	63	+7	37
12	Fleetwood Town	38	8	18	54	80	−26	32
13	Atherton Laburnum Rovers	38	9	18	52	70	−18	31
14	Lytham	38	5	22	54	71	−17	27
15	Great Harwood Town	38	10	20	54	76	−22	26
16	Salford	38	6	22	43	86	−43	26
17	Droylsden	38	5	22	49	71	−22	25 2
18	Prescot BI	38	5	23	46	81	−35	25
19	Padiham	38	6	24	41	74	−33	22
20	New Mills	38	4	27	40	106	−66	20
