Year	Location	Fans' Choice Award	Male Artist of the Year	Female Artist of the Year	Group or Duo of the Year
2013	Edmonton	Terri Clark	Dean Brody	Kira Isabella	The Stellas
2012	Saskatoon	Johnny Reid	Dean Brody	Carolyn Dawn Johnson	Hey Romeo
2011	Hamilton	Johnny Reid	Johnny Reid	Terri Clark	Hey Romeo
2010	Edmonton	Johnny Reid	Gord Bamford	Victoria Banks	Doc Walker
2009	Vancouver	Johnny Reid	Johnny Reid	Crystal Shawanda	Doc Walker
2008	Winnipeg	Doc Walker	Johnny Reid	Jessie Farrell	Doc Walker
2007	Regina	Terri Clark	Brad Johner	Carolyn Dawn Johnson	Emerson Drive
2006	Saint John	Terri Clark	George Canyon	Carolyn Dawn Johnson	The Road Hammers
2005	Calgary	George Canyon	George Canyon	Terri Clark	The Road Hammers
2004	Edmonton	Terri Clark	Jason McCoy	Terri Clark	Doc Walker
2003	Calgary	Terri Clark	Aaron Lines	Shania Twain	Emerson Drive
2002	Calgary	Terri Clark	Paul Brandt	Carolyn Dawn Johnson	Emerson Drive
2001	Calgary	Terri Clark	Jason McCoy	Carolyn Dawn Johnson	The Wilkinsons
2000	Edmonton	The Wilkinsons	Paul Brandt	Michelle Wright	The Wilkinsons
1999	Ottawa	Shania Twain	Paul Brandt	Shania Twain	The Wilkinsons
1998	Calgary	Shania Twain	Paul Brandt	Shania Twain	Leahy
1997	Hamilton	Terri Clark	Paul Brandt	Terri Clark	Farmer's Daughter
1996	Calgary	Shania Twain	Charlie Major	Shania Twain	Prairie Oyster
1995	Edmonton	Michelle Wright	Charlie Major	Shania Twain	Prairie Oyster
1994	Calgary	Prairie Oyster	Charlie Major	Patricia Conroy	Prairie Oyster
1993	Hamilton	Michelle Wright	George Fox	Michelle Wright	The Rankin Family
1992	Calgary	Rita MacNeil	Ian Tyson	Michelle Wright	Prairie Oyster
1991	Hamilton	Rita MacNeil	George Fox	Michelle Wright	Prairie Oyster
1990	Edmonton	k.d. lang	George Fox	Michelle Wright	Prairie Oyster
1989	Ottawa	k.d. lang	Gary Fjellgaard	k.d. lang	Family Brown
1988	Toronto	k.d. lang	Ian Tyson	k.d. lang	Family Brown
1987	Vancouver	k.d. lang	Ian Tyson	Anita Perras	Family Brown
1986	Winnipeg	Family Brown	Terry Carisse	Anita Perras	Family Brown
1985	Edmonton	Dick Damron	Terry Carisse	Carroll Baker	Mercey Brothers
1984	Moncton	Ronnie Prophet	Terry Carisse	Marie Bottrell	Family Brown
1983	Regina	Family Brown	Dick Damron	Marie Bottrell	Family Brown
1982	Halifax	Family Brown	Terry Carisse	Carroll Baker	Family Brown
