Player	Nationality	Position	Years for Jazz	School/Club Team
Gus Bailey	United States	Guard-Forward	1977-78	UTEP
Thurl Bailey	United States	Power forward	1983-92; 1999-2000	NC State
Jim Barnett	United States	Guard-Forward	1974-75	Oregon
Ron Behagen	United States	Forward-Center	1975-77	Minnesota
Raja Bell	United States Virgin Islands	Guard/Forward	2003-05, 2010-Present	Florida International
Walt Bellamy	United States	Center	1974-75	Indiana
Mel Bennett	United States	Forward	1980-81	Pittsburgh
David Benoit	United States	Forward	1991-96; 2000-01	Alabama
Kent Benson	United States	Center	1986-87	Indiana
Henry Bibby	United States	Point guard	1975-76	UCLA
John Block	United States	Forward-Center	1974-75	South Carolina
Walter Bond	United States	Guard	1993-95	Minnesota
Ron Boone	United States	Guard	1979-81	Idaho State
Carlos Boozer	United States	Power forward	2004–10	Duke
Curtis Borchardt	United States	Forward	2003-05	Stanford
Tom Boswell	United States	Forward-Center	1979-80; 1983-84	South Carolina
Fred Boyd	United States	Guard	1975-78	Oregon State
Kenny Boyd	United States	Forward	1974-75	Boston
Ronnie Brewer	United States	Guard	2006-2010	Arkansas
Allan Bristow	United States	Forward	1979-81	Virginia Tech
Dee Brown	United States	Guard	2006-2007	Illinois
Devin Brown	United States	Guard-Forward	2005-06	UTSA
John Brown	United States	Forward	1979-80	Missouri
Mike Brown	United States	Forward-Center	1988-93	George Washington
Raymond Brown	United States	Forward	1989-90	Idaho
Tony Brown	United States	Forward	1990-91	Arkansas
Alec Burks	United States	Shooting Guard	2011-present	Colorado
Marty Byrnes	United States	Forward	1979-80	Syracuse
