Outcome	Tournament	Surface	Partnering	Score in the final
Runner-up	$10,000 San Antonio, Texas, United States	Hard	Dinky Van Rensburg Category:Articles with hCards	5–7, 7–6 (7–4) , 4–6
Winner	$10,000 Croydon, Great Britain	Carpet (i)	Valda Lake Category:Articles with hCards	7–6, 2–6, 7–5
Runner-up	$25,000 Taranto, Italy	Clay	Simone Schilder	3–6, 2–6
Runner-up	Wellington, New Zealand (1)	Hard	Belinda Borneo	6–2, 5–7, 6–7 (4–7)
Winner	Wellington, New Zealand (2)	Hard	Belinda Borneo	6–0, 7–6 (7–5)
Winner	$25,000 Wilmington, Delaware, United States	Hard	Tessa Price	3–6, 6–1, 6–1
Winner	$50,000 Southampton, Great Britain	Carpet (i)	Valda Lake	6–4, 4–6, 6–3
Winner	$25,000 Bronx, New York, United States	Hard	Nanne Dahlman	6–2, 6–3
Runner-up	$25,000 Redbridge, Great Britain	Hard (i)	Kerry-Anne Guse Category:Articles with hCards	6–2, 4–6, 4–6
Winner	$25,000 Bushey, Great Britain	Carpet (i)	Olga Lugina	7–6 (8–6) , 6–7 (6–8) , 6–1
Winner	$10,000 Jaffa, Israel	Hard	Helen Reesby	7–5, 7–5
