Institution	Location	Nickname	Founded	Type	Enrollment	Football?	Joined
Bridgewater College	Bridgewater, Virginia	Eagles	1880	Private	1690	Yes	1976
Eastern Mennonite University	Harrisonburg, Virginia	Royals	1917	Private	998	No	1976
Emory & Henry College	Emory, Virginia	Wasps	1836	Private	1000	Yes	1976
Guilford College	Greensboro, North Carolina	Quakers	1837	Private	2682	Yes	1991
Hampden–Sydney College ^	Hampden Sydney, Virginia	Tigers	1775	Private	1120	Yes	1976
Hollins University †	Roanoke, Virginia	*None*	1842	Private	816	No	1982
Lynchburg College	Lynchburg, Virginia	Fighting Hornets	1903	Private	2500	No	1976
Randolph College *	Lynchburg, Virginia	WildCats	1891	Private	522	No	1982
Randolph–Macon College	Ashland, Virginia	Yellow Jackets	1830	Private	1146	Yes	1976
Roanoke College	Salem, Virginia	Maroons	1842	Private	2100	No	1976
Shenandoah University	Winchester, Virginia	Hornets	1875	Private	724	Yes	2012
Sweet Briar College †	Sweet Briar, Virginia	Vixens	1901	Private	1767	No	1982
Virginia Wesleyan College	Virginia Beach, Virginia	Marlins	1961	Private	1446	No	1989
