Game	Date	Opponent	Score	Location	Record
29	Wed. Jan. 2	New York Knicks	113-86	Boston Garden	24-5
30	Fri. Jan. 4	Phoenix Suns	132-103	Boston Garden	25-5
31	Sun. Jan. 6	Dallas Mavericks	127-110	Boston Garden	26-5
32	Tue. Jan. 8	@ New York Knicks	101-87	Madison Square Garden	27-5
33	Wed. Jan. 9	Milwaukee Bucks	110-102	Boston Garden	28-5
34	Fri. Jan. 11	Los Angeles Clippers	109-107	Boston Garden	29-5
35	Sat. Jan. 12	@ Washington Bullets	99-116	Capital Centre	29-6
36	Wed. Jan. 16	Golden State Warriors	105-110	Boston Garden	29-7
37	Fri. Jan. 18	New Jersey Nets	106-111	Boston Garden	29-8
38	Mon. Jan. 21	@ Detroit Pistons	90-101	The Palace of Auburn Hills	29-9
39	Wed. Jan. 23	Detroit Pistons	111-94	Boston Garden	30-9
40	Fri. Jan. 25	@ Philadelphia 76ers	94-116	The Spectrum	30-10
41	Sun. Jan. 27	Los Angeles Lakers	87-104	Boston Garden	30-11
42	Mon. Jan. 28	@ Minnesota Timberwolves	108-87	Target Center	31-11
43	Wed. Jan. 30	Orlando Magic	144-102	Boston Garden	32-11
