Date	Tournament	Surface	Opponent	Score
April 28, 2003	Montego Bay	Hard	Juan Mónaco	2–6, 7–6 (7–3) , 6–0
September 1, 2003	Montego Bay	Hard	Jacob Adaktusson	7–6 (7–3) , 6–2
November 7, 2005	Waikoloa	Hard	Scott Lipsky	6–1, 6–1
November 14, 2005	Honolulu	Hard	Sam Querrey	6–4, 6–3
March 20, 2006	Little Rock	Hard	Scott Oudsema	6–2, 6–2
March 27, 2006	Mobile	Hard	Harsh Mankad	2–6, 6–3, 6–4
June 19, 2006	Milan	Clay	Arnaud di Pasquale	5–7, 6–2, 7–6 (7–5)
October 8, 2007	Sacramento	Hard	Lu Yen-hsun	6–2, 6–3
January 26, 2009	Carson	Hard	Scoville Jenkins	6–4, 6–4
January 31, 2011	Palm Coast	Clay	Nicola Ghedin	6–2, 6–1
March 7, 2011	McAllen	Hard	Gastão Elias	6–7 (5–7) , 6–4, 6–1
May 2, 2011	Savannah	Hard	Donald Young	6–4, 6–4
July 18, 2011	Lexington	Hard	James Ward	7–5, 6–4
January 29, 2012	Bucaramanga	Clay	Adrian Ungur	6–1, 7–6 (7–4)
