Rd #	Pick #	Player	Team (League)	Reg GP	Pl GP
1	2	Trevor Linden	Medicine Hat Tigers ( WHL )	1140	118
2	33	Leif Rohlin	VIK Västerås HK ( Swe )	95	5
3	44	Dane Jackson	Vernon Lakers (BCJHL)	15	6
6	107	Corrie D'Alessio	Cornell University ( NCAA )	0	0
6	122	Phil Von Stefenelli	Boston University ( NCAA )	0	0
7	128	Dixon Ward	University of North Dakota ( NCAA )	103	9
8	149	Greg Geldart	St. Albert Saints ( AJHL )	0	0
9	170	Roger Akerstrom	Luleå HF ( SWE )	0	0
10	191	Paul Constantin	Lake Superior State University ( NCAA )	0	0
11	212	Chris Wolanin	University of Illinois ( NCAA )	0	0
12	233	Stefan Nilsson	Färjestad BK ( Swe )	0	0
