Date	Opponent	Score	Loss	Attendance	Record
April 1	@ Athletics †	9 - 6	Reyes (0-1)	7,294	1-0
April 3	@ Athletics †	10 - 4	Prieto (0-1)	8,050	2-0
April 5	@ Indians	7 - 1	Hershiser (0-1)	41,782	3-0
April 6	@ Indians	5 - 3	Hanson (1-1)	41,852	3-1
April 7	@ Indians	8 - 3	Quantrill (0-1)	41,689	3-2
April 9	Angels	5 - 0	Langston (0-1)	36,616	4-2
April 10	Angels	2 - 1	Guzmán (1-1)	25,446	4-3
April 11	Angels	7 - 4	Abbott (0-2)	25,512	5-3
April 12	Mariners	9 - 6	Quantrill (0-2)	31,293	5-4
April 13	Mariners	14 - 3	Ware (0-1)	33,645	5-5
April 14	Mariners	9 - 4	Hentgen (2-1)	29,301	5-6
April 15	Tigers	8 - 2	Olivares (1-1)	26,127	6-6
April 16	Tigers	13 - 8	Hanson (2-2)	25,503	6-7
April 17	@ Angels	5 - 1	Quantrill (0-3)	15,361	6-8
April 18	@ Angels	9 - 6	Ware (0-2)	25,083	6-9
April 19	@ Mariners	10 - 4	Wolcott (1-2)	32,189	7-9
April 20	@ Mariners	3 - 1	Menhart (0-2)	47,487	8-9
April 21	@ Mariners	9 - 5	Hanson (2-3)	34,915	8-10
April 22	@ Mariners	16 - 7	Hurtado (1-3)	18,467	9-10
April 24	Athletics	7 - 6	Hentgen (3-2)	28,029	9-11
April 25	Athletics	4 - 3 (11)	Crabtree (0-1)	26,163	9-12
April 26	Indians	6 - 3	Hanson (2-4)	30,227	9-13
April 27	Indians	11 - 6	Nagy (3-1)	40,140	10-13
April 28	Indians	17 - 3	Viola (0-1)	31,143	10-14
April 30	Brewers	9 - 8	Boze (0-1)	25,467	11-14
