Year	Grand Slam	Round	Winner	Loser
1969	Australian Open	First round	Margaret Court	Judith Gohn
1969	French Open	First round	Kazuko Sawamatsu	Monique Van Haver
1969	French Open	Third round	Julie Heldman	Raquel Giscafré
1969	Wimbledon	Third round	Karen Krantzcke	Pam Teeguarden
1970	Australian Open	Second round	Margaret Court	Caroline Langsford
1970	French Open	First round	Helga Hösl	Katalin Borka
1970	French Open	Third round	Billie Jean King	Odile De Roubin
1970	Wimbledon	Second round	Peggy Michel	Alena Palmeova
1970	Wimbledon	Second round	Judy Dalton	Susan Northen
1971	Australian Open	First round	Patricia Coleman	Helen Taylor
1971	French Open	First round	Julie Heldman	Sharon Van Brandis
1971	Wimbledon	First round	Rosie Casals	Rosy Darmon
1971	Wimbledon	Second round	Margaret Court	Lorraine Robinson
1972	French Open	First round	Vlasta Vopickova	Michele Gurdal
1972	US Open	Second round	Margaret Court	Barbara Hawcroft
1973	Australian Open	Second round	Margaret Court	Nathalie Fuchs
1974	Australian Open	First round	Wendy Turnbull	Brenda Dale
1974	Australian Open	Second round	Chris Evert	Katerleen Szeman
1974	Australian Open	Second round	Evonne Goolagong	Miki Yokobori
1974	French Open	First round	Marie Neumanova	Nicole Bimes
1974	Wimbledon	First round	Virginia Wade	Veronica Burton
1974	Wimbledon	Second round	Winnie Shaw	Nerida Gregory
1974	Wimbledon	Second round	Mona Schallau	Nathalie Fuchs
1974	US Open	Third round	Evonne Goolagong	Katja Ebbinghaus
1975	French Open	Second round	Marina Kroschina	Laurie Rowley
1975	Wimbledon	Third round	Margaret Court	Renata Tomanová
1975	US Open	Third round	Evonne Goolagong	Peggy Michel
1985	US Open	First round	Wendy Turnbull	Susan Leo
1985	US Open	Second round	Wendy Turnbull	Elizabeth Smylie
1988	French Open	Final	Steffi Graf	Natasha Zvereva
2001	Australian Open	First round	Silvija Talaja	Alicia Molik
2003	Australian Open	Second Round	Kim Clijsters	Petra Mandula
2003	French Open	Third Round	Serena Williams	Barbara Schett
2003	Wimbledon	First Round	Kim Clijsters	Rossana de los Ríos
2004	Australian Open	Second Round	Kim Clijsters	Maria Elena Camerin
2005	Wimbledon	First Round	Lindsay Davenport	Jamea Jackson
2006	Wimbledon	First Round	Amélie Mauresmo	Ivana Abramović
2007	Wimbledon	First Round	Martina Müller	Anna Smashnova
2008	French Open	Second round	Victoria Azarenka	Sorana Cîrstea
2008	French Open	Fourth round	Ana Ivanovic	Petra Cetkovská
2009	French Open	First round	Dinara Safina	Anne Keothavong
2009	Wimbledon	First round	Marion Bartoli	Yung-Jan Chan
2009	Wimbledon	Second round	Victoria Azarenka	Ioana Raluca Olaru
2009	US Open	Second round	Flavia Pennetta	Sania Mirza
2009	US Open	Fourth round	Kateryna Bondarenko	Gisela Dulko
2010	Australian Open	First round	María José Martínez Sánchez	Evgeniya Rodina
2010	US Open	Second round	Caroline Wozniacki	Chang Kai-chen
2010	US Open	Third round	Maria Sharapova	Beatrice Capra
2011	Australian Open	First round	Kim Clijsters	Dinara Safina
2011	Australian Open	First round	Marion Bartoli	Tathiana Garbin
2012	French Open	First round	Maria Sharapova	Alexandra Cadanțu
2012	US Open	Fourth round	Serena Williams	Andrea Hlaváčková
2013	Australian Open	First round	Serena Williams	Edina Gallovits-Hall
2013	Australian Open	First round	Maria Sharapova	Olga Puchkova
2013	Australian Open	Second round	Maria Sharapova	Misaki Doi
2013	US Open	First round	Carla Suárez Navarro	Lauren Davis
2013	US Open	First round	Sara Errani	Olivia Rogowska
2013	US Open	First round	Victoria Azarenka	Dinah Pfizenmaier
2013	US Open	Quarterfinal	Serena Williams	Carla Suárez Navarro
