Week	Date	Opponent	Result	Attendance
1	September 3, 1978	Green Bay Packers	L 13-7	51,187
2	September 9, 1978	at Tampa Bay Buccaneers	W 15-7	64,445
3	September 17, 1978	Chicago Bears	L 19-0	65,982
4	September 24, 1978	at Seattle Seahawks	L 28-16	60,040
5	October 1, 1978	at Green Bay Packers	L 35-14	54,601
6	October 8, 1978	Washington Redskins	L 21-19	60,555
7	October 15, 1978	at Atlanta Falcons	L 14-0	51,172
8	October 22, 1978	San Diego Chargers	W 31-14	54,031
9	October 29, 1978	at Chicago Bears	W 21-17	53,378
10	November 5, 1978	at Minnesota Vikings	L 17-7	46,008
11	November 12, 1978	Tampa Bay Buccaneers	W 34-23	60,320
12	November 19, 1978	at Oakland Raiders	L 29-17	44,517
13	November 23, 1978	Denver Broncos	W 17-14	71,785
14	December 3, 1978	at St. Louis Cardinals	L 21-14	39,200
15	December 9, 1978	Minnesota Vikings	W 45-14	78,685
16	December 17, 1978	San Francisco 49ers	W 33-14	56,674
