Place	Player	Country	Score	To par	Money ( $ )
1	Tony Jacklin	England	71-70-70-70=281	–7	30,000
2	Dave Hill	United States	75-69-71-73=288	E	15,000
T3	Bob Charles	New Zealand	76-71-75-67=289	+1	9,000
T3	Bob Lunn	United States	77-72-70-70=289	+1	9,000
5	Ken Still	United States	78-71-71-71=291	+3	7,000
6	Miller Barber	United States	75-75-72-70=292	+4	6,000
7	Gay Brewer	United States	75-71-71-76=293	+5	5,000
T8	Billy Casper	United States	75-75-71-73=294	+6	3,325
T8	Bruce Devlin	Australia	75-75-71-73=294	+6	3,325
T8	Lee Trevino	United States	77-73-74-70=294	+6	3,325
T8	Larry Ziegler	United States	75-73-73-73=294	+6	3,325
