Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score in the final
Runner-up	October 4, 1987	San Francisco , USA	Carpet (i)	Glenn Layendecker	Jim Grabb Patrick McEnroe	2–6, 6–0, 4–6
Runner-up	March 6, 1988	Indian Wells , USA	Hard	Jorge Lozano	Boris Becker Guy Forget	4–6, 4–6
Runner-up	May 1, 1988	Charleston , USA	Clay	Jorge Lozano	Pieter Aldrich Danie Visser	6–7, 3–6
Winner	May 8, 1988	Forest Hills , USA	Clay	Jorge Lozano	Pieter Aldrich Danie Visser	6–3, 7–6
Winner	May 15, 1988	Rome , Italy	Clay	Jorge Lozano	Anders Järryd Tomáš Šmíd	6–3, 6–3
Winner	July 10, 1988	Boston , USA	Clay	Jorge Lozano	Bruno Orešar Jaime Yzaga	6–2, 7–5
Runner-up	July 24, 1988	Washington , USA	Hard	Jorge Lozano	Rick Leach Jim Pugh	3–6, 7–6, 2–6
Winner	July 31, 1988	Stratton Mountain , USA	Hard	Jorge Lozano	Pieter Aldrich Danie Visser	6–3, 7–6
Runner-up	November 27, 1988	Itaparica , Brazil	Hard	Jorge Lozano	Sergio Casal Emilio Sánchez	6–7, 6–7
Winner	April 16, 1989	Rio de Janeiro , Brazil	Carpet (i)	Jorge Lozano	Patrick McEnroe Tim Wilkison	2–6, 6–4, 6–4
Winner	July 16, 1989	Gstaad , Switzerland	Clay	Cassio Motta	Petr Korda Milan Šrejber	6–4, 6–3
Winner	August 20, 1989	Montreal , Canada	Hard	Kelly Evernden	Charles Beckman Shelby Cannon	6–3, 6–3
Winner	November 12, 1989	Stockholm , Sweden	Carpet (i)	Jorge Lozano	Rick Leach Jim Pugh	6–3, 5–7, 6–3
Runner-up	November 26, 1989	Itaparica , Brazil	Hard	Jorge Lozano	Rick Leach Jim Pugh	2–6, 6–7
Runner-up	July 22, 1990	Washington , USA	Hard	Jorge Lozano	Grant Connell Glenn Michibata	3–6, 7–6, 2–6
Runner-up	October 21, 1990	Vienna , Austria	Carpet (i)	Jorge Lozano	Udo Riglewski Michael Stich	4–6, 4–6
Winner	April 7, 1991	Hong Kong	Hard	Patrick Galbraith	Glenn Michibata Robert Van't Hof	6–2, 6–4
Winner	May 5, 1991	Munich , Germany	Clay	Patrick Galbraith	Anders Järryd Danie Visser	7–5, 6–4
Winner	July 28, 1991	Montreal , Canada	Hard	Patrick Galbraith	Grant Connell Glenn Michibata	6–4, 3–6, 6–1
Winner	March 22, 1992	Key Biscayne , USA	Hard	Ken Flach	Kent Kinnear Sven Salumaa	6–4, 6–3
Runner-up	July 19, 1992	Washington , USA	Hard	Ken Flach	Bret Garnett Jared Palmer	2–6, 3–6
