Ranking	Nationality	Name	Years	Total Appearances(league only)
1	Ireland	Tony Fagan	1967–87	590(431)
2	England	Tony Stenson	1968–84	387(290)
3	Ireland	Raffaele Cretaro	2000–2005 & 2007–2009 & 2011-	381(311)
4	Scotland	Johnny Armstrong	1951-64	380(228)
5	Ireland	Gavin Dykes	1987-96	323(255)
6	Ireland	Harry McLoughlin	1977-89	315(275)
7	Ireland	David Pugh	1963–67 & 1969-78	308(236)
8	Ireland	Martin McDonnell	1979–1984 & 1990-97	284(214)
9	England	Chris Rutherford	1975–1985	281(222)
10	Ireland	Conor O'Grady	1998–2001 & 2005-10	281(239)
