Fin. Pos	Car No.	Driver	Team	Laps	Time/Retired	Grid	Laps Led	Points
1	9	Scott Dixon	Target Chip Ganassi	200	1:35:06.2615	1	105	50+3
2	27	Dario Franchitti	Andretti Green	200	+2.3400	2	88	40
3	7	Danica Patrick	Andretti Green	200	+3.1884	7	0	35
4	6	Sam Hornish, Jr.	Team Penske	200	+3.2914	4	0	32
5	26	Marco Andretti	Andretti Green	200	+4.1409	8	0	30
6	3	Hélio Castroneves	Team Penske	200	+4.5098	6	0	28
7	8	Scott Sharp	Rahal Letterman	200	+5.2449	10	0	26
8	10	Dan Wheldon	Target Chip Ganassi	200	+5.7581	5	4	24
9	14	Darren Manning	A.J. Foyt Racing	199	+1 Lap	13	0	22
10	4	Vitor Meira	Panther Racing	199	+1 Lap	15	3	20
11	2	Tomas Scheckter	Vision Racing	199	+1 Lap	12	0	19
12	22	A. J. Foyt IV	Vision Racing	198	+2 Laps	11	0	18
13	20	Ed Carpenter	Vision Racing	197	+3 Laps	14	0	17
14	17	Jeff Simmons	Rahal Letterman	196	+4 Laps	9	0	16
15	5	Sarah Fisher	Dreyer & Reinbold Racing	194	+6 Laps	17	0	15
16	55	Kosuke Matsuura	Panther Racing	182	Accident	18	0	14
17	15	Buddy Rice	Dreyer & Reinbold Racing	166	Handling	16	0	13
18	11	Tony Kanaan	Andretti Green	35	Accident	3	0	12
Lead changes: 7 between 4 drivers	Lead changes: 7 between 4 drivers	Lead changes: 7 between 4 drivers	Lead changes: 7 between 4 drivers	Lead changes: 7 between 4 drivers	Lead changes: 7 between 4 drivers	Lead changes: 7 between 4 drivers	Lead changes: 7 between 4 drivers	Lead changes: 7 between 4 drivers
