Res.	Record	Opponent	Method	Event	Round	Time	Location
Win	5-5	Lee Young Gun	Verbal Submission (armbar)	Jungle Fight 1	1	1:09	Manaus , Amazonas, Brazil
Loss	4-5	Wallid Ismail	TKO (punches)	UFO: Legend	2	3:03	Tokyo, Japan
Loss	4-4	Masaaki Satake	TKO (punches)	PRIDE 10	1	6:58	Tokorozawa, Saitama , Japan
Win	4-3	John Dixson	Submission (armbar)	PRIDE 1	1	1:34	Tokyo, Japan
Loss	3-3	Maurice Smith	KO (punch)	Extreme Fighting 4	1	4:23	Des Moines, Iowa , United States
Win	3-2	Bart Vale	TKO (punches)	Extreme Fighting 3	1	4:37	Tulsa, Oklahoma , United States
Loss	2-2	Masanori Suda	Submission (armbar)	Lumax Cup: Tournament of J '96	2	1:38	Japan
Win	2-1	Akihiro Gono	Decision	Lumax Cup: Tournament of J '96	2	3:00	Japan
Win	1-1	Isamu Osugi	Submission (armlock)	Lumax Cup: Tournament of J '96	1	4:10	Japan
Loss	0-1	Akihiro Gono	KO (kick)	Lumax Cup: Tournament of J '95	1	2:25	Japan
