Season	Group A Winner	Group B Winner	Group C Winner	Group D Winner
1978–79	Sanremese	Cremapergo	Fano	Rende
1979–80	Prato	Modena	Giulianova	Cosenza
1980–81	Rhodense	Padova	Casertana	Campania
1981–82	Carrarese	Ancona	Siena	Barletta
1982–83	Prato	Legnano	Francavilla	Messina
1983–84	Livorno	Pavia	Jesi	Reggina
1984–85	Siena	VirescitBoccaleone	Brindisi	Licata
1985–86	Lucchese	Centese	Teramo	Nocerina
1986–87	Torres	Ospitaletto	Vis Pesaro	Frosinone
1987–88	Carrarese	Mantova	Perugia	Palermo
1988–89	Casale	Chievo	Fidelis Andria	Puteolana
1989–90	Siena	Varese	Fano	Battipagliese
