Year Location	Mens Singles	Womens Singles	Mens Doubles	Womens Doubles
2012 Suzhou	Hao Shuai	Chen Meng	Wang Liqin Xu Xin	Chen Meng Zhu Yuling
2012 Shanghai	Xu Xin	Li Xiaoxia	Ma Long Wang Hao	Jiang Huajun Lee Ho Ching
2011 Suzhou	Ma Long	Guo Yan	Ma Lin Zhang Jike	Guo Yan Guo Yue
2011 Shenzhen	Ma Lin	Wen Jia	Ma Long Wang Hao	Guo Yue Liu Shiwen
2010 Suzhou	Zhang Jike	Li Xiaoxia	Ma Lin Xu Xin	Guo Yue Li Xiaoxia
2009 Suzhou	Ma Long	Liu Shiwen	Seiya Kishikawa Jun Mizutani	Guo Yue Li Xiaoxia
2009 Tianjin	Wang Hao	Liu Shiwen	Hao Shuai Li Ping	Ding Ning Liu Shiwen
2008 Shanghai	Hao Shuai	Li Xiaoxia	Ma Lin Wang Liqin	Jiang Huajun Tie Yana
2008 Changchun	Wang Hao	Zhang Yining	China	China
2007 Shenzhen	Wang Hao	Zhang Yining	Ma Lin Wang Hao	Guo Yan Guo Yue
2007 Nanjing	Ma Lin	Guo Yue	Chen Qi Wang Hao	Guo Yue Li Xiaoxia
2006 Kunshan	Ma Lin	Wang Nan	Chen Qi Wang Liqin	Wang Nan Zhang Yining
2006 Guangzhou	Timo Boll	Zhang Yining	Hao Shuai Wang Liqin	Shen Yanfei Gao Jun
2005 Harbin	Wang Liqin	Guo Yue	Kong Linghui Ma Long	Guo Yan Guo Yue
2005 Shenzhen	Wang Liqin	Li Xiaoxia	Chen Qi Wang Liqin	Guo Yue Zhang Yining
2004 Changchun	Wang Liqin	Zhang Yining	Kong Linghui Wang Hao	Wang Nan Zhang Yining
2004 Wuxi	Ma Lin	Cao Zhen	Chen Qi Ma Lin	Cao Zhen Li Xiaoxia
2003 Guangzhou	Ma Lin	Zhang Yining	Chen Qi Ma Lin	Bai Yang Li Ju
2002 Qingdao	Wang Liqin	Wang Nan	Lee Chul-Seung Ryu Seung-Min	Lee Eun-Sil Suk Eun-Mi
2001 Hainan	Wang Liqin	Wang Nan	Wang Liqin Yan Sen	Bai Yang Niu Jianfeng
2000 Changchun	Wang Liqin	Li Ju	Wang Liqin Yan Sen	Sun Jin Yang Ying
1999 Guilin	Liu Guozheng	Li Ju	Wang Liqin Yan Sen	Li Nan Lin Ling
1998 Jinan	Liu Guoliang	Wang Nan	Ma Lin Qin Zhijian	Wu Na Yang Ying
1997 Zhuhai	Zoran Primorac	Li Ju	Kong Linghui Liu Guoliang	Lee Eun-Sil Ryu Ji-Hae
