Classification	Fastest time (s)	Athlete	Country	Date	Location
T11	11.03	Lucas Prado	Brazil	9 September 2008	Beijing
T12	10.66	Elchin Muradov	Azerbaijan	19 June 2010	Imola
T13	10.46	Jason Smyth	Ireland	1 September 2012	London
T32	23.25	Martin McDonagh	Ireland	13 August 1999	Nottingham
T33	17.67	Ahmad Almutairi	Kuwait	8 September 2012	London
T34	15.69	Walid Ktila	Tunisia	17 January 2012	Kuwait City
T35	12.29	Yang Sen	People's Republic of China	13 September 2008	Beijing
T36	11.90	Evgenii Shvetcov	Russia	22 July 2013	Lyon
T37	11.51	Fanie van der Merwe	South Africa	9 September 2012	London
T37	11.51	Yongbin Liang	People's Republic of China	9 September 2012	London
T38	10.79	Evan O'Hanlon	Australia	1 September 2012	London
T42	12.11	Heinrich Popow	Germany	12 July 2013	Leverkusen
T43	10.57	Alan Fonteles Cardoso Oliveira	Brazil	28 July 2013	London
T44	10.75	Richard Browne	United States	28 July 2013	London
T45	10.94	Yohansson Nascimento	Brazil	6 September 2012	London
T46	10.72	Ajibola Adeoye	Nigeria	6 September 1992	Barcelona
T51	21.11	Toni Piispanen	Finland	17 May 2012	Pratteln
T52	16.73	Paul Nitz	United States	20 May 2012	Nottwil
T53	14.47	Mickey Bushell	United Kingdom	24 June 2010	Arbon
T54	13.63	Leo-Pekka Tähti	Finland	1 September 2012	London
