Week	Date	Opponent	Result	Attendance
1	September 23, 1960	at Los Angeles Rams	W 43-21	47,448
2	October 2, 1960	New York Giants	L 35-14	26,089
3	October 9, 1960	at Philadelphia Eagles	L 31-27	33,701
4	October 16, 1960	at Pittsburgh Steelers	L 27-14	22,971
5	October 23, 1960	Dallas Cowboys	W 12-10	23,128
6	October 30, 1960	at New York Giants	W 20-13	58,516
7	November 6, 1960	Washington Redskins	W 44-7	22,458
8	November 13, 1960	at Cleveland Browns	L 28-27	49,192
9	November 20, 1960	at Washington Redskins	W 26-14	23,848
10	November 27, 1960	Cleveland Browns	T 17-17	26,146
11	December 4, 1960	Philadelphia Eagles	L 20-6	21,358
12	Bye	Bye	Bye	Bye
13	December 18, 1960	Pittsburgh Steelers	W 38-7	20,840
