Date	Result	Score	Venue	Competition
25-Aug-41	D	0–0	Kabul , Afghanistan	Friendly
26-Oct-47	L	1–3	Tehran , Iran	Friendly
28-Oct-48	D	1–1	Tehran , Iran	Friendly
28-May-50	L	1–6	Istanbul , Turkey	Friendly
30-May-50	D	2–2	Ankara , Turkey	Friendly
26-Oct-50	W	4–0	Tehran , Iran	Friendly
27-Oct-50	W	5–1	Tehran , Iran	Friendly
05-Mar-51	W	2–0	New Delhi , India	1951 Asian Games
07-Mar-51	D	0–0	New Delhi , India	1951 Asian Games
08-Mar-51	W	3–2	New Delhi , India	1951 Asian Games
10-May-51	L	0–1	New Delhi , India	1951 Asian Games
02-Apr-52	D	0–0	Karachi , Pakistan	Friendly
26-May-58	L	0–4	Tokyo , Japan	1958 Asian Games
28-May-58	L	0–5	Tokyo , Japan	1958 Asian Games
05-Dec-59	W	3–0	Kochi , India	1960 Asian Cup Qualifier
09-Dec-59	L	1–4	Kochi , India	1960 Asian Cup Qualifier
11-Dec-59	L	1–3	Kochi , India	1960 Asian Cup Qualifier
12-Dec-59	D	1–1	Kochi , India	1960 Asian Cup Qualifier
14-Dec-59	W	4–1	Kochi , India	1960 Asian Cup Qualifier
18-Dec-59	W	2–1	Kochi , India	1960 Asian Cup Qualifier
