Week	Date	Opponent	Result	Attendance
1	September 12, 2004	at New York Jets	L 24–31	77,230
2	September 19, 2004	Miami Dolphins	W 16–13	65,705
3	September 26, 2004	Baltimore Ravens	L 9–23	65,575
4	October 3, 2004	at Pittsburgh Steelers	L 17–18	62,402
5	Bye	Bye	Bye	Bye
6	October 17, 2004	at Cleveland Browns	L 17–34	73,263
7	October 25, 2004	Denver Broncos	W 23–10	65,806
8	October 31, 2004	at Tennessee Titans	L 20–27	68,932
9	November 7, 2004	Dallas Cowboys	W 26–3	65,721
10	November 14, 2004	at Washington Redskins	W 17–10	87,786
11	November 21, 2004	Pittsburgh Steelers	L 14–19	65,780
12	November 28, 2004	Cleveland Browns	W 58–48	65,677
13	December 5, 2004	at Baltimore Ravens	W 27–26	69,695
14	December 12, 2004	at New England Patriots	L 28–35	68,756
15	December 19, 2004	Buffalo Bills	L 17–33	65,378
16	December 26, 2004	New York Giants	W 23–22	64,606
17	January 2, 2005	at Philadelphia Eagles	W 38–10	67,074
