Game	March	Opponent	Score	Record
65	3	Vancouver Canucks	3 - 3	23-34-8
66	5	@ Atlanta Flames	8 - 3	23-35-8
67	7	Atlanta Flames	6 - 6	23-35-9
68	11	@ Los Angeles Kings	4 - 3	23-36-9
69	13	@ Vancouver Canucks	7 - 3	24-36-9
70	16	@ Washington Capitals	5 - 2	24-37-9
71	17	Minnesota North Stars	3 - 1	25-37-9
72	20	@ Boston Bruins	8 - 1	25-38-9
73	21	Pittsburgh Penguins	4 - 2	25-39-9
74	24	@ Buffalo Sabres	7 - 3	25-40-9
75	25	@ Philadelphia Flyers	4 - 1	25-41-9
76	27	@ Chicago Black Hawks	6 - 5	26-41-9
77	28	Kansas City Scouts	4 - 2	27-41-9
78	31	New York Islanders	3 - 1	28-41-9
