Title	Series	Director	Production Number	Release date	reissue?
One Meat Brawl	MM	Robert McKimson	1015, BR 1360	1947-01-18	Yes
Goofy Gophers, The ,	LT	Bob Clampett (Planned) Arthur Davis (Finished)	1021, BR 1375	1947-01-25	Yes
Gay Anties, The	MM	Friz Freleng	8-15, BR 1351	1947-02-15	Yes
Scent-imental Over You	LT	Chuck Jones	1016, BR 1356	1947-03-08	Yes
Hare Grows in Manhattan, A	MM	Friz Freleng	1020	1947-03-22	No
Birth of a Notion	LT	Robert McKimson	1018, BR 1352	1947-04-12	Yes
Tweetie Pie	MM	Friz Freleng	1026, BR 1374	1947-05-03	Yes
Rabbit Transit	LT	Friz Freleng	1025	1947-05-10	No
Hobo Bobo	MM	Robert McKimson	1022, BR 1359	1947-05-17	Yes
Along Came Daffy	LT	Friz Freleng	1019, BR 1355	1947-06-14	Yes
Inki at the Circus	MM	Chuck Jones	1029, BR 1376	1947-06-21	Yes
Easter Yeggs	LT	Robert McKimson	1027	1947-06-28	No
Crowing Pains	LT	Robert McKimson	1030, BR 1371	1947-07-12	Yes
Pest in the House, A	MM	Chuck Jones	1024	1947-08-02	No
Foxy Duckling, The	MM	Arthur Davis	1031, BR 1366	1947-08-23	Yes
House Hunting Mice	LT	Chuck Jones	1049, BR 1370	1947-09-06	Yes
Little Orphan Airedale	LT	Chuck Jones	1032, 1411	1947-10-04	Yes
Doggone Cats	MM	Arthur Davis	1032, BR 1401	1947-10-25	Yes
Slick Hare	MM	Friz Freleng	1033	1947-11-01	No
Mexican Joyride	LT	Arthur Davis	1034	1947-11-29	No
Catch as Cats Can	MM	Arthur Davis	1038	1947-12-06	No
Horsefly Fleas, A	LT	Robert McKimson	1060, BR 1410	1947-12-13	Yes
