Place	Player	Country	Score	To par
T1	David Duval	United States	67-70=137	–3
T1	Phil Mickelson	United States	67-70=137	–3
T1	Payne Stewart	United States	68-69=137	–3
T4	Billy Mayfair	United States	67-72=139	–1
T4	Vijay Singh	Fiji	69-70=139	–1
T4	Hal Sutton	United States	69-70=139	–1
T4	Tiger Woods	United States	68-71=139	–1
T8	John Huston	United States	71-69=140	E
T8	Jeff Maggert	United States	71-69=140	E
T10	Bob Estes	United States	70-71=141	+1
T10	Paul Goydos	United States	67-74=141	+1
T10	Tim Herron	United States	69-72=141	+1
T10	Rocco Mediate	United States	69-72=141	+1
