Institution	Location	Team Nickname	Tenure	New Conference	New Classification
Arizona State University	Tempe, Arizona	Sun Devils	1982–2009	SLC	MCLA Division I
Biola University	La Mirada, California	Eagles	2001–2009	SLC	MCLA Division II
California Lutheran University	Thousand Oaks, California	Kingsmen	2005–2009	SLC	MCLA Division II
California State University, Fullerton	Fullerton, California	Titans	2006–2009	SLC	MCLA Division II
California State University, Hayward	Hayward, California	Pioneers	1997–2004	ceased operations in 2004	N/A
California State University, Sacramento	Sacramento, California	Hornets	1986–1998	ceased operations in 1998	N/A
California State University, San Marcos	San Marcos, California	Cougars	unknown-2002	N/A	N/A
Chapman University	Orange, California	Panthers	1988–2009	SLC	MCLA Division I
Claremont McKenna College	Claremont, California	Cougars	1980–2009	SLC	MCLA Division I
Loyola Marymount University	Los Angeles, California	Lions	1985–2009	SLC	MCLA Division I
Northern Arizona University	Flagstaff, Arizona	Lumberjacks	1982-unknown	N/A	N/A
Pepperdine University	Malibu, California	Waves	unknown–2009	SLC	MCLA Division II
Occidental College	Los Angeles, California	Tigers	2006–2009	SLC	MCLA Division II
San Diego State University	San Diego, California	Aztecs	1980–2009	SLC	MCLA Division I
University of Arizona	Tucson, Arizona	Wildcats	1982–2009	SLC	MCLA Division I
University of California, Irvine	Irvine, California	Anteaters	1988–2009	SLC	MCLA Division II
University of California, Los Angeles	Los Angeles, California	Bruins	1980–2009	SLC	MCLA Division I
University of California, San Diego	San Diego, California	Tritons	unknown–2009	SLC	MCLA Division I
University of California, Santa Barbara	Santa Barbara, California	Gauchos	1980–2009	SLC	MCLA Division I
University of Nevada, Las Vegas	Las Vegas, Nevada	Rebels	2005–2009	SLC	MCLA Division I
University of San Diego	San Diego, California	Toreros	unknown–2009	SLC	MCLA Division I
University of Southern California	Los Angeles, California	Trojans	1980–2009	SLC	MCLA Division I
Whittier College	Whittier, California	The Poets	1981–1999	Independent	NCAA Division III
