Date	Tournament	Surface	Partner	Opponent in the final	Score
2 October 2006	Traralgon , F10	Hard	Matthew Ebden	James Cerretani Phil Stolt	6–3, 6–3
30 July 2007	Ilkley , F13	Grass	Ian Flanagan	Daniel King-Turner Fabrice Martin	6–3, 6–1
22 October 2007	Traralgon , F8	Hard	Matthew Ebden	Andrew Coelho Greg Jones	7–6(6), 6–1
25 February 2008	Wellington , F1	Hard	Andrew Coelho	Isaac Frost Leon Frost	6–1, 6–3
9 June 2008	Minsk , F1	Hard	Matthew Ebden	Deniss Pavlovs Dekel Valtzer	6–3, 6–2
7 July 2008	Felixstowe , F9	Clay	Matthew Ebden	Sadik Kadir Shane La Porte	6–4, 7–6(5)
9 February 2009	Mildura , F1	Grass	Matthew Ebden	Kaden Hensel Adam Hubble	7–5, 7–6(7)
23 November 2009	Kalgoorlie , F10	Hard	Robert Smeets	Dane Propoggia Matt Reid	6–3, 7–6(5)
29 March 2010	Mobile, AL , F8	Hard	John Millman	Kaden Hensel Jose Rubin Statham	4–6, 6–4, [10–6]
26 April 2010	Ipswich , F3	Clay	Dane Propoggia	Marcus Daniell Logan MacKenzie	6–2, 6–3
3 May 2010	Bundaberg , F4	Clay	Dane Propoggia	Michael Look Logan MacKenzie	6–1, 6–0
8 November 2010	Esperance , F11	Hard	Nima Roshan	Colin Ebelthite Adam Feeney	6–3, 6–4
15 November 2010	Wellington , F1	Hard	Dane Propoggia	Nima Roshan Jose Rubin Statham	4–6, 6–1, [10–1]
18 April 2011	Antalya , F14	Hard	Tuna Altuna	Alexander Bury Vladyslav Klymenko	6–4, 6–3
25 April 2011	Antalya , F15	Hard	Tuna Altuna	Andrei Ciumac Dmitri Sitak	6–4, 6–3
4 July 2011	Römerberg , F8	Clay	Juan-Pablo Amado	Roman Jebavý Andrei Mlendea	6–4, 6–1
1 August 2011	Izmir , F22	Clay	Dane Propoggia	Andrei Ciumac Paris Gemouchidis	3–6, 6–3, [10–5]
8 August 2011	Istanbul , F23	Hard	Dane Propoggia	Riccardo Ghedin N. Vijay Sundar Prashanth	6–3, 7–6(3)
5 September 2011	Alice Springs , F5	Hard	James Lemke	Peng Gao Wan Gao	6–1, 6–1
12 September 2011	Cairns , F6	Hard	James Lemke	Jae-Sung An Elbert Sie	W/O
3 October 2011	Esperance , F8	Hard	Jose Rubin Statham	Peng Gao Wan Gao	7–5, 6–3
13 February 2012	Toowoomba , F1	Hard	Dane Propoggia	Luke Saville Andrew Whittington	7–6(4), 6–2
23 April 2012	Antalya , F16	Hard	Tuna Altuna	Adam Chadaj Vladimir Uzhylovsky	6–2, 6–4
30 April 2012	Antalya , F17	Hard	Tuna Altuna	Vadim Alekseenko Sergei Krotiouk	6–1, 6–3
7 May 2012	Antalya , F18	Hard	Tuna Altuna	Ilya Belyaev Baris Erguden	6–0, 6–3
2 July 2012	Bakio , F19	Hard	Fabrice Martin	Juan-Samuel Arauzo-Martinez Inigo Santos-Fernandez	7–5, 6–1
3 September 2012	Antalya , F34	Hard	Tuna Altuna	Marco Danis George Morgan	6–3, 6–4
24 September 2012	Antalya , F37	Hard	Dane Propoggia	Matteo Donati Francesco Picco	6–1, 6–2
1 October 2012	Antalya , F38	Hard	Maxim Dubarenco	Edoardo Eramin Artem Sitak	6–4, 3–6, [11–9]
5 November 2012	Phuket , F5	Hard	Dane Propoggia	Antoine Escoffier Alexander Ward	6–3, 6–2
3 December 2012	Jakarta , F4	Hard	Dane Propoggia	Ketut-Nesa Arta Hendri Susilo Pramono	6–4, 6–2
29 July 2013	Istanbul , F30	Hard	Dane Propoggia	Tuna Altuna Baris Erguden	6–1, 6–4
5 August 2013	Izmir , F31	Hard	Dane Propoggia	Dorian Descloix Jaime Pulgar-Garcia	5–7, 7–5, [10–4]
