Round	Pick #	Player	Position	College
1	26	Greg Bell	Running back	Notre Dame
2	41	Eric Richardson	Wide receiver	San Jose State
3	77	Rodney Bellinger	Defensive back	Miami (FL)
3	79	Sean McNanie	Defensive end	San Diego State
3	82	Speedy Neal	Running back	Miami (FL)
4	95	Mitchell Brookins	Wide receiver	Illinois
5	128	John Kidd	Punter	Northwestern
6	155	Tony Slaton	Center	USC
7	182	Stan David	Defensive back	Texas Tech
8	209	Stacy Rayfield	Defensive back	Texas-Arlington
9	236	Leroy Howell	Defensive end	Appalachian State
10	236	Joe Azelby	Linebacker	Harvard
11	296	Craig White	Wide receiver	Missouri
12	323	Russell Davis	Tight end	Maryland
