Date	Tournament	Winning score	Margin of victory	Runner(s)-up
Feb 11, 1968	Andy Williams-San Diego Open Invitational	–15 (66-68-71-68=273)	1 stroke	Al Geiberger
Jul 7, 1968	Buick Open Invitational	–8 (73-67-71-69=280)	1 stroke	Mike Hill
Jun 13, 1971	Kemper Open	–11 (66-72-70-69=277)	Playoff	Dale Douglass , Gary Player , Lee Trevino
Aug 22, 1971	IVB-Philadelphia Golf Classic	–14 (67-71-66-70=274)	1 stroke	Dave Hill
Feb 27, 1972	Jackie Gleason's Inverrary Classic	–10 (69-72-69-68=278)	1 stroke	Jack Nicklaus
May 13, 1973	Colonial National Invitation	–4 (69-68-70-69=276)	1 stroke	Bruce Crampton , Jerry Heard
Jun 3, 1973	Kemper Open	–17 (65-70-68-68=271)	3 strokes	Lanny Wadkins
Jun 10, 1973	IVB-Philadelphia Golf Classic	–14 (67-71-65-71=274)	4 strokes	Jim Barber
Jul 14, 1973	The Open Championship	–12 (68-67-71-70=276)	3 strokes	Neil Coles , Johnny Miller
Jul 29, 1973	Canadian Open	–10 (67-73-68-70=278)	2 strokes	Forrest Fezler
Apr 6, 1975	Greater Greensboro Open	–9 (64-71-72-68=275)	3 strokes	Al Geiberger
Jul 27, 1975	Canadian Open	–6 (65-74-68-67=274)	Playoff	Jack Nicklaus
Jun 5, 1977	Kemper Open	–11 (67-71-69-70=277)	2 strokes	George Burns , Bill Rogers
Mar 12, 1978	Doral-Eastern Open	–16 (67-70-67-68=272)	1 stroke	Jack Nicklaus
Sep 20, 1981	LaJet Classic	–10 (73-67-70-68=278)	2 strokes	Gil Morgan
Jul 4, 1982	Western Open	–12 (69-67-70-70=276)	1 stroke	Larry Nelson
