Name	Years	Area	Authority	Decile	Roll
Kaitieke School	1–8	Kaitieke	State	8	11
Kakahi School	1–8	Kakahi	State	3	24
Kirikau School	1–8	Kirikau	State	6	3
Manunui School	1–8	Manunui	State	1	57
Matiere School	1–8	Matiere	State	2	19
National Park School	1–8	National Park	State	3	36
Ngakonui Valley School	1–8	Taumarunui	State	3	74
Ngapuke School	1–8	Taumarunui	State	1	73
Ohakune School	1–8	Ohakune	State	5	249
Ohura Valley Primary	1–8	Ohura	State	3	22
Ongarue School	1–8	Ongarue	State	3	18
Orautoha School	1–8	Raetihi	State	8	16
Owhango School	1–8	Owhango	State	5	52
Raetihi Primary School	1–8	Raetihi	State	1	143
Ruapehu College	9–13	Ohakune	State	3	169
St Patrick's Catholic School	1–8	Taumarunui	State integrated	4	89
Tarrangower School	1–8	Taumarunui	State	1	64
Taumarunui High School	9–13	Taumarunui	State	2	393
Taumarunui Primary School	1–8	Taumarunui	State	1	144
Te Kura o Nga Iwi e Toru ki Taumarunui	1–8	Taumarunui	State	2	28
TKKM o Ngati Rangi	1–8	Ohakune	State	1	27
Tokirima School	1–8	Tokirima	State	6	5
Turaki School	1–8	Taumarunui	State	2	282
Waiouru School	1–8	Waiouru	State	9	89
