meas. num.	passed	YES votes	NO votes	% YES	Const. Amd.?	type	description
1	YES	579022	92187	86.27%	Yes	LEG	Fixing Commencement of Legislators' Term
2	No	357499	393652	47.59%	No	LEG	Daylight Saving Time
3	YES	335792	312187	51.82%	Yes	LEG	Financing Urban Redevelopment Projects
6	YES	467557	233759	66.67%	Yes	LEG	State Bonds for Higher Education Facilities
7	YES	508108	183977	73.42%	Yes	LEG	Voter Qualification Amendment
8	No	232250	433515	34.88%	Yes	LEG	Authorizing Bonds for State Building Program
9	YES	578471	123283	82.43%	Yes	LEG	Compulsory Retirement for Judges
10	YES	486019	169865	74.10%	Yes	LEG	Elective Offices: When to Become Vacant
11	YES	399210	222736	64.19%	Yes	LEG	Financing Improvements in Home Rule Counties
12	YES	578266	88995	86.66%	Yes	LEG	Continuity of Government in Enemy Attack
13	YES	415931	266630	60.94%	Yes	LEG	War Veterans' Bonding and Loan Amendment
14	No	115610	570025	16.86%	No	Ref	Personal Income Tax Bill
