Rank	State	Population	Area (km²)	Density
—	Federal District	8,720,700	1,499	5,817.7
1	Mexico State	14,349,700	21,461	668.6
2	Morelos	1,637,400	4,941	331.4
3	Tlaxcala	1,034,600	3,914	264.3
4	Aguascalientes	1,023,800	5,589	183.2
5	Puebla	5,480,200	33,919	161.6
6	Guanajuato	4,919,000	30,589	160.8
7	Querétaro	1,558,500	11,769	132.4
8	Hidalgo	2,330,900	20,987	111.1
9	Colima	581,100	5,455	106.5
10	Veracruz	6,980,900	72,815	95.9
11	Jalisco	6,540,700	80,137	81.6
12	Tabasco	1,994,700	24,661	80.9
13	Michoacán	4,066,900	59,864	67.9
14	Nuevo León	4,041,300	64,555	62.6
15	Chiapas	4,329,700	73,887	58.6
—	United Mexican States	102,797,200	1,967,138	52.3
16	Guerrero	3,196,100	63,749	50.1
17	Sinaloa	2,574,300	58,092	44.3
18	Yucatán	1,714,100	39,340	43.6
19	Baja California	2,846,500	70,113	40.6
20	Oaxaca	3,651,100	95,364	38.3
21	San Luis Potosí	2,370,400	62,848	37.7
22	Tamaulipas	2,927,300	79,829	36.7
23	Nayarit	942,200	27,621	34.1
24	Quintana Roo	1,023,500	50,350	20.3
25	Zacatecas	1,381,900	75,040	18.4
26	Coahuila	2,395,100	151,571	15.8
27	Campeche	720,900	51,833	13.9
28	Chihuahua	3,274,700	247,087	13.3
29	Sonora	2,262,700	184,934	12.2
30	Durango	1,449,100	119,648	12.1
31	Baja California Sur	477,300	73,677	6.5
