Code	County	Former Province	Area (km 2 )	Population Census 2009	Capital
1	Mombasa	Coast	212.5	939370	Mombasa (City)
2	Kwale	Coast	8,270.3	649931	Kwale
3	Kilifi	Coast	12,245.9	1109735	Kilifi
4	Tana River	Coast	35,375.8	240075	Hola
5	Lamu	Coast	6,497.7	101539	Lamu
6	Taita-Taveta	Coast	17,083.9	284657	Voi
7	Garissa	North Eastern	45,720.2	623060	Garissa
8	Wajir	North Eastern	55,840.6	661941	Wajir
9	Mandera	North Eastern	25,797.7	1025756	Mandera
10	Marsabit	Eastern	66,923.1	291166	Marsabit
11	Isiolo	Eastern	25,336.1	143294	Isiolo
12	Meru	Eastern	5,127.1	1356301	Meru
13	Tharaka-Nithi	Eastern	2,409.5	365330	Chuka
14	Embu	Eastern	2,555.9	516212	Embu
15	Kitui	Eastern	24,385.1	1012709	Kitui
16	Machakos	Eastern	5,952.9	1098584	Machakos
17	Makueni	Eastern	8,008.9	884527	Wote
18	Nyandarua	Central	3,107.7	596268	Ol Kalou
19	Nyeri	Central	2,361.0	693558	Nyeri
20	Kirinyaga	Central	1,205.4	528054	Kerugoya / Kutus
21	Murang'a	Central	2,325.8	942581	Murang'a
22	Kiambu	Central	2,449.2	1623282	Kiambu
23	Turkana	Rift Valley	71,597.8	855399	Lodwar
24	West Pokot	Rift Valley	8,418.2	512690	Kapenguria
25	Samburu	Rift Valley	20,182.5	223947	Maralal
26	Trans Nzoia	Rift Valley	2,469.9	818757	Kitale
27	Uasin Gishu	Rift Valley	2,955.3	894179	Eldoret
28	Elgeyo-Marakwet	Rift Valley	3,049.7	369998	Iten
29	Nandi	Rift Valley	2,884.5	752965	Kapsabet
30	Baringo	Rift Valley	11,075.3	555561	Kabarnet
31	Laikipia	Rift Valley	8,696.1	399227	Nanyuki
32	Nakuru	Rift Valley	7,509.5	1603325	Nakuru
33	Narok	Rift Valley	17,921.2	850920	Narok
34	Kajiado	Rift Valley	21,292.7	687312	Kajiado
35	Kericho	Rift Valley	2,454.5	752396	Kericho
36	Bomet	Rift Valley	1,997.9	730129	Bomet
37	Kakamega	Western	3,033.8	1660651	Kakamega
38	Vihiga	Western	531.3	554622	Vihiga
39	Bungoma	Western	2,206.9	1375063	Bungoma
40	Busia	Western	1,628.4	743946	Busia
41	Siaya	Nyanza	2,496.1	842304	Siaya
42	Kisumu	Nyanza	2,009.5	968909	Kisumu
43	Homa Bay	Nyanza	3,154.7	963794	Homa Bay
44	Migori	Nyanza	2,586.4	917170	Migori
45	Kisii	Nyanza	1,317.9	1152282	Kisii
46	Nyamira	Nyanza	912.5	598252	Nyamira
47	Nairobi	Nairobi	694.9	3138369	Nairobi (City)
