Rnd	Race	Date	Location	Pole Position	Fastest Lap	Race Winner	Constructor	Report
1	Brazilian Grand Prix	13 March	Jacarepaguá	Keke Rosberg	Nelson Piquet	Nelson Piquet	Brabham - BMW	Report
2	United States Grand Prix West	27 March	Long Beach	Patrick Tambay	Niki Lauda	John Watson	McLaren - Ford	Report
3	French Grand Prix	17 April	Paul Ricard	Alain Prost	Alain Prost	Alain Prost	Renault	Report
4	San Marino Grand Prix	1 May	Imola	René Arnoux	Riccardo Patrese	Patrick Tambay	Ferrari	Report
5	Monaco Grand Prix	15 May	Monaco	Alain Prost	Nelson Piquet	Keke Rosberg	Williams - Ford	Report
6	Belgian Grand Prix	22 May	Spa-Francorchamps	Alain Prost	Andrea de Cesaris	Alain Prost	Renault	Report
7	Detroit Grand Prix	5 June	Detroit	René Arnoux	John Watson	Michele Alboreto	Tyrrell - Ford	Report
8	Canadian Grand Prix	12 June	Circuit Gilles Villeneuve	René Arnoux	Patrick Tambay	René Arnoux	Ferrari	Report
9	British Grand Prix	16 July	Silverstone	René Arnoux	Alain Prost	Alain Prost	Renault	Report
10	German Grand Prix	7 August	Hockenheimring	Patrick Tambay	René Arnoux	René Arnoux	Ferrari	Report
11	Austrian Grand Prix	14 August	Österreichring	Patrick Tambay	Alain Prost	Alain Prost	Renault	Report
12	Dutch Grand Prix	28 August	Zandvoort	Nelson Piquet	René Arnoux	René Arnoux	Ferrari	Report
13	Italian Grand Prix	11 September	Monza	Riccardo Patrese	Nelson Piquet	Nelson Piquet	Brabham - BMW	Report
14	European Grand Prix	25 September	Brands Hatch	Elio de Angelis	Nigel Mansell	Nelson Piquet	Brabham - BMW	Report
