States	Males (%)	Males rank	Females (%)	Females rank
India	12.1	14	16	15
Punjab	30.3	1	37.5	1
Kerala	24.3	2	34	2
Goa	20.8	3	27	3
Tamil Nadu	19.8	4	24.4	4
Andhra Pradesh	17.6	5	22.7	10
Sikkim	17.3	6	21	8
Mizoram	16.9	7	20.3	17
Himachal Pradesh	16	8	19.5	12
Maharashtra	15.9	9	18.1	13
Gujarat	15.4	10	17.7	7
Haryana	14.4	11	17.6	6
Karnataka	14	12	17.3	9
Manipur	13.4	13	17.1	11
Uttarakhand	11.4	15	14.8	14
Arunachal Pradesh	10.6	16	12.5	19
Uttar Pradesh	9.9	17	12	18
Jammu and Kashmir	8.7	18	11.1	5
Bihar	8.5	19	10.5	29
Nagaland	8.4	20	10.2	22
Rajasthan	8.4	20	9	20
Meghalaya	8.2	22	8.9	26
Orissa	6.9	23	8.6	25
Assam	6.7	24	7.8	21
Chattisgarh	6.5	25	7.6	27
West Bengal	6.1	26	7.1	16
Madhya Pradesh	5.4	27	6.7	23
Jharkhand	5.3	28	5.9	28
